t, phi
2.559998, -0.037724
2.569998, -0.037718
2.579998, -0.037731
2.589998, -0.037552
2.599998, -0.037472
2.609998, -0.037545
2.619998, -0.037510
2.629998, -0.037438
2.639998, -0.037378
2.649998, -0.037309
2.659998, -0.037224
2.669998, -0.037131
2.679998, -0.037179
2.689998, -0.037025
2.699998, -0.036824
2.709998, -0.036939
2.719998, -0.036957
2.729998, -0.036817
2.739998, -0.036694
2.749998, -0.036722
2.759998, -0.036526
2.769998, -0.036486
2.779998, -0.036487
2.789998, -0.036456
2.799998, -0.036454
2.809998, -0.036388
2.819998, -0.036374
2.829998, -0.036266
2.839998, -0.036083
2.849998, -0.036036
2.859998, -0.035947
2.869998, -0.036026
2.879998, -0.035957
2.889998, -0.036071
2.899998, -0.036153
2.909998, -0.036094
2.919998, -0.036213
2.929998, -0.036127
2.939998, -0.036138
2.949998, -0.035866
2.959998, -0.036057
2.969998, -0.035924
2.979998, -0.036087
2.989998, -0.035834
2.999998, -0.035955
3.009998, -0.035597
3.019998, -0.035625
3.029998, -0.035257
3.039998, -0.035125
3.049998, -0.034783
3.059998, -0.035172
3.069998, -0.035207
3.079998, -0.035482
3.089998, -0.035618
3.099998, -0.035793
3.109998, -0.035871
3.119998, -0.035823
3.129997, -0.035758
3.139997, -0.035655
3.149997, -0.035578
3.159997, -0.035828
3.169997, -0.036007
3.179997, -0.036046
3.189997, -0.036051
3.199997, -0.035968
3.209997, -0.035883
3.219997, -0.035904
3.229997, -0.035962
3.239997, -0.035983
3.249997, -0.035922
3.259997, -0.036067
3.269997, -0.036230
3.279997, -0.036295
3.289997, -0.036244
3.299997, -0.036191
3.309997, -0.036318
3.319997, -0.036357
3.329997, -0.036371
3.339997, -0.036425
3.349997, -0.036411
3.359997, -0.036439
3.369997, -0.036415
3.379997, -0.036361
3.389997, -0.036424
3.399997, -0.036552
3.409997, -0.036454
3.419997, -0.036421
3.429997, -0.036549
3.439997, -0.036550
3.449997, -0.036761
3.459997, -0.036830
3.469997, -0.036941
3.479997, -0.036946
3.489997, -0.037112
3.499997, -0.037275
3.509997, -0.037255
3.519997, -0.037373
3.529997, -0.037495
3.539997, -0.037558
3.549997, -0.037752
3.559997, -0.037898
3.569997, -0.038016
3.579997, -0.038170
3.589997, -0.038296
3.599997, -0.038403
3.609997, -0.038575
3.619997, -0.038690
3.629997, -0.038873
3.639997, -0.039081
3.649997, -0.039236
3.659997, -0.039292
3.669997, -0.039452
3.679997, -0.039557
3.689997, -0.039595
3.699997, -0.039674
3.709997, -0.039816
3.719997, -0.039971
3.729997, -0.040096
3.739997, -0.040253
3.749997, -0.040395
3.759997, -0.040411
3.769997, -0.040437
3.779997, -0.040496
3.789997, -0.040513
3.799997, -0.040626
3.809997, -0.040720
3.819997, -0.040597
3.829997, -0.040556
3.839997, -0.040622
3.849997, -0.040714
3.859997, -0.040605
3.869997, -0.040651
3.879997, -0.040700
3.889997, -0.040634
3.899997, -0.040548
3.909997, -0.040542
3.919997, -0.040619
3.929997, -0.040578
3.939997, -0.040765
3.949997, -0.040823
3.959997, -0.041057
3.969997, -0.041312
3.979997, -0.041342
3.989997, -0.041462
3.999997, -0.041747
4.009997, -0.041867
4.019997, -0.042093
4.029997, -0.042191
4.039998, -0.042495
4.049998, -0.042536
4.059998, -0.042747
4.069998, -0.042834
4.079998, -0.042712
4.089999, -0.042809
4.099999, -0.042693
4.109999, -0.042671
4.119999, -0.042575
4.130000, -0.042382
4.140000, -0.042396
4.150000, -0.042197
4.160000, -0.042185
4.170001, -0.042052
4.180001, -0.042014
4.190001, -0.041971
4.200001, -0.041957
4.210001, -0.041959
4.220002, -0.041955
4.230002, -0.041879
4.240002, -0.041932
4.250002, -0.041979
4.260003, -0.041996
4.270003, -0.042056
4.280003, -0.041950
4.290003, -0.042086
4.300004, -0.042101
4.310004, -0.042120
4.320004, -0.042167
4.330004, -0.042337
4.340004, -0.042451
4.350005, -0.042505
4.360005, -0.042330
4.370005, -0.042262
4.380005, -0.042088
4.390006, -0.042141
4.400006, -0.042094
4.410006, -0.042004
4.420006, -0.041949
4.430007, -0.042090
4.440007, -0.042130
4.450007, -0.042368
4.460007, -0.042279
4.470007, -0.042281
4.480008, -0.042337
4.490008, -0.042353
4.500008, -0.042338
4.510008, -0.042475
4.520009, -0.042646
4.530009, -0.042749
4.540009, -0.042826
4.550009, -0.042798
4.560009, -0.042755
4.570010, -0.042588
4.580010, -0.042506
4.590010, -0.042464
4.600010, -0.042445
4.610011, -0.042445
4.620011, -0.042500
4.630011, -0.042585
4.640011, -0.042604
4.650012, -0.042679
4.660012, -0.042783
4.670012, -0.042780
4.680012, -0.042955
4.690012, -0.043011
4.700013, -0.043184
4.710013, -0.043324
4.720013, -0.043366
4.730013, -0.043522
4.740014, -0.043562
4.750014, -0.043542
4.760014, -0.043389
4.770014, -0.043374
4.780015, -0.043393
4.790015, -0.043293
4.800015, -0.043277
4.810015, -0.043182
4.820015, -0.043127
4.830016, -0.043078
4.840016, -0.043301
4.850016, -0.043371
4.860016, -0.043390
4.870017, -0.043458
4.880017, -0.043534
4.890017, -0.043525
4.900017, -0.043464
4.910017, -0.043358
4.920018, -0.043365
4.930018, -0.043312
4.940018, -0.043086
4.950018, -0.042940
4.960019, -0.042606
4.970019, -0.042473
4.980019, -0.042318
4.990019, -0.042329
5.000020, -0.042296
5.010020, -0.042476
5.020020, -0.042523
5.030020, -0.042436
5.040020, -0.042393
5.050021, -0.042438
5.060021, -0.042176
5.070021, -0.042151
5.080021, -0.041946
5.090022, -0.041668
5.100022, -0.041310
5.110022, -0.040943
5.120022, -0.040557
5.130023, -0.040309
5.140023, -0.040320
5.150023, -0.040232
5.160023, -0.040217
5.170023, -0.040161
5.180024, -0.040231
5.190024, -0.040308
5.200024, -0.040263
5.210024, -0.040153
5.220025, -0.040195
5.230025, -0.039998
5.240025, -0.039735
5.250025, -0.039532
5.260026, -0.039251
5.270026, -0.039280
5.280026, -0.039086
5.290026, -0.038966
5.300026, -0.039022
5.310027, -0.038960
5.320027, -0.039073
5.330027, -0.039020
5.340027, -0.039062
5.350028, -0.038994
