t, ur
2.919998, 10.386108
2.929998, 10.384766
2.939998, 10.384277
2.949998, 9.872559
2.959998, 9.873169
2.969998, 9.872314
2.979998, 9.873901
2.989998, 10.383179
2.999998, 9.873413
3.009998, 12.937744
3.019998, 14.984131
3.029998, 12.937744
3.039998, 12.430054
3.049998, 13.449097
3.059998, 12.938477
3.069998, 12.935303
3.079998, 12.426636
3.089998, 13.448242
3.099998, 12.937378
3.109998, 12.423950
3.119998, 12.935547
3.129997, 12.933716
3.139997, 13.444580
3.149997, 12.933716
3.159997, 13.443726
3.169997, 14.467651
3.179997, 15.489746
3.189997, 15.487183
3.199997, 15.487183
3.209997, 15.487427
3.219997, 14.977783
3.229997, 15.489502
3.239997, 15.489746
3.249997, 15.487183
3.259997, 15.487183
3.269997, 18.554932
3.279997, 18.553894
3.289997, 18.041992
3.299997, 17.532532
3.309997, 18.554382
3.319997, 17.532532
3.329997, 18.042236
3.339997, 18.044067
3.349997, 20.600220
3.359997, 17.533325
3.369997, 20.598389
3.379997, 20.599976
3.389997, 20.089722
3.399997, 20.089172
3.409997, 21.111267
3.419997, 20.089172
3.429997, 20.597595
3.439997, 20.087097
3.449997, 24.174805
3.459997, 23.151855
3.469997, 21.108398
3.479997, 21.108643
3.489997, 22.641602
3.499997, 23.151611
3.509997, 23.152710
3.519997, 23.152405
3.529997, 23.152161
3.539997, 23.662109
3.549997, 23.662109
3.559997, 23.661316
3.569997, 26.214539
3.579997, 23.149475
3.589997, 25.703735
3.599997, 26.213745
3.609997, 23.658691
3.619997, 23.146851
3.629997, 26.214539
3.639997, 26.214294
3.649997, 25.701294
3.659997, 28.257202
3.669997, 27.234253
3.679997, 28.768555
3.689997, 28.257507
3.699997, 28.257507
3.709997, 29.280457
3.719997, 27.746948
3.729997, 28.770142
3.739997, 30.815247
3.749997, 28.260132
3.759997, 31.326294
3.769997, 27.750671
3.779997, 30.818176
3.789997, 30.818420
3.799997, 31.329468
3.809997, 31.331848
3.819997, 30.821350
3.829997, 34.401733
3.839997, 31.333740
3.849997, 33.890930
3.859997, 33.379822
