t, uk
2.559998, -0.009151
2.569998, -0.028050
2.579998, -0.031510
2.589998, -0.048280
2.599998, -0.052805
2.609998, -0.068243
2.619998, -0.074632
2.629998, -0.090869
2.639998, -0.093530
2.649998, -0.107904
2.659998, -0.111365
2.669998, -0.123875
2.679998, -0.126271
2.689998, -0.137184
2.699998, -0.140112
2.709998, -0.151558
2.719998, -0.153687
2.729998, -0.162471
2.739998, -0.164068
2.749998, -0.170457
2.759998, -0.172054
2.769998, -0.178708
2.779998, -0.180039
2.789998, -0.184831
2.799998, -0.184831
2.809998, -0.189089
2.819998, -0.188557
2.829998, -0.191751
2.839998, -0.191751
2.849998, -0.192550
2.859998, -0.192284
2.869998, -0.192550
2.879998, -0.190953
2.889998, -0.189356
2.899998, -0.189089
2.909998, -0.186428
2.919998, -0.184564
2.929998, -0.182169
2.939998, -0.179773
2.949998, -0.175780
2.959998, -0.174716
2.969998, -0.169126
2.979998, -0.167529
2.989998, -0.161673
2.999998, -0.160608
3.009998, -0.153687
3.019998, -0.152090
3.029998, -0.145170
3.039998, -0.144105
3.049998, -0.136119
3.059998, -0.132925
3.069998, -0.123875
3.079998, -0.122278
3.089998, -0.113494
3.099998, -0.110832
3.109998, -0.102581
3.119998, -0.100185
3.129997, -0.089005
3.139997, -0.087142
3.149997, -0.079157
3.159997, -0.072502
3.169997, -0.061855
3.179997, -0.059726
3.189997, -0.050409
3.199997, -0.046416
3.209997, -0.035237
3.219997, -0.030978
3.229997, -0.020331
3.239997, -0.014475
3.249997, -0.002497
3.259997, 0.001230
3.269997, 0.014007
3.279997, 0.017467
3.289997, 0.030244
3.299997, 0.035035
3.309997, 0.048344
3.319997, 0.051804
3.329997, 0.066710
3.339997, 0.070171
3.349997, 0.082948
3.359997, 0.086408
3.369997, 0.099983
3.379997, 0.103710
3.389997, 0.117551
3.399997, 0.121544
3.409997, 0.135385
3.419997, 0.139644
3.429997, 0.153486
3.439997, 0.156413
3.449997, 0.172651
3.459997, 0.174514
3.469997, 0.186226
3.479997, 0.189420
3.489997, 0.204858
3.499997, 0.208319
3.509997, 0.221362
3.519997, 0.224556
3.529997, 0.237599
3.539997, 0.242124
3.549997, 0.253037
3.559997, 0.257828
3.569997, 0.268209
3.579997, 0.274065
3.589997, 0.281519
3.599997, 0.284447
3.609997, 0.296691
3.619997, 0.299619
3.629997, 0.306007
3.639997, 0.307604
3.649997, 0.320913
3.659997, 0.323309
3.669997, 0.325438
3.679997, 0.325705
3.689997, 0.331028
3.699997, 0.329697
3.709997, 0.328633
3.719997, 0.327302
3.729997, 0.328100
3.739997, 0.324640
3.749997, 0.319050
3.759997, 0.315856
3.769997, 0.309734
3.779997, 0.307870
3.789997, 0.303345
3.799997, 0.301216
3.809997, 0.287108
3.819997, 0.282583
3.829997, 0.270871
3.839997, 0.267145
3.849997, 0.247714
3.859997, 0.243189
3.869997, 0.222959
3.879997, 0.216038
3.889997, 0.194744
3.899997, 0.188888
3.909997, 0.157212
3.919997, 0.150824
3.929997, 0.125270
3.939997, 0.116753
3.949997, 0.081617
3.959997, 0.074696
3.969997, 0.040891
3.979997, 0.034236
3.989997, -0.009950
3.999997, -0.018467
4.009997, -0.058395
4.019997, -0.076229
4.029997, -0.117753
4.039998, -0.126537
4.049998, -0.176845
4.059998, -0.187226
4.069998, -0.229815
4.079998, -0.244987
4.089999, -0.292102
4.099999, -0.309403
4.109999, -0.353589
4.119999, -0.363438
4.130000, -0.406559
4.140000, -0.416142
4.150000, -0.458731
4.160000, -0.472572
4.170001, -0.513564
4.180001, -0.522348
4.190001, -0.560944
4.200001, -0.571325
4.210001, -0.606994
4.220002, -0.613914
4.230002, -0.647986
4.240002, -0.654640
4.250002, -0.682589
4.260003, -0.691905
4.270003, -0.717459
4.280003, -0.724379
4.290003, -0.743012
4.300004, -0.746739
4.310004, -0.764040
4.320004, -0.767235
4.330004, -0.774422
4.340004, -0.786133
4.350005, -0.786133
4.360005, -0.782939
4.370005, -0.787997
4.380005, -0.782673
4.390006, -0.774688
4.400006, -0.770429
4.410006, -0.761112
4.420006, -0.755256
4.430007, -0.735559
4.440007, -0.732365
4.450007, -0.708142
4.460007, -0.696963
4.470007, -0.666352
4.480008, -0.659165
4.490008, -0.625360
4.500008, -0.607792
4.510008, -0.569994
4.520009, -0.560678
4.530009, -0.513298
4.540009, -0.493601
4.550009, -0.445156
4.560009, -0.433177
4.570010, -0.374618
4.580010, -0.363704
4.590010, -0.305411
4.600010, -0.284915
4.610011, -0.217837
4.620011, -0.206125
4.630011, -0.131861
4.640011, -0.116156
4.650012, -0.050143
4.660012, -0.033107
4.670012, 0.037963
4.680012, 0.062452
4.690012, 0.132191
4.700013, 0.147097
4.710013, 0.217901
4.720013, 0.242390
4.730013, 0.309201
4.740014, 0.326769
4.750014, 0.395178
4.760014, 0.409818
4.770014, 0.478226
4.780015, 0.496327
4.790015, 0.559944
4.800015, 0.580706
4.810015, 0.637136
4.820015, 0.651510
4.830016, 0.704480
4.840016, 0.718055
4.850016, 0.768364
4.860016, 0.785665
4.870017, 0.828254
4.880017, 0.843693
4.890017, 0.881491
4.900017, 0.890008
4.910017, 0.921950
4.920018, 0.929403
4.930018, 0.954957
4.940018, 0.960280
4.950018, 0.979179
4.960019, 0.982639
4.970019, 0.994618
4.980019, 0.998876
4.990019, 1.001006
5.000020, 0.999941
5.010020, 0.996215
5.020020, 0.994618
5.030020, 0.981575
5.040020, 0.977050
5.050021, 0.956554
5.060021, 0.950698
5.070021, 0.924346
5.080021, 0.917425
5.090022, 0.882822
5.100022, 0.874570
5.110022, 0.836240
5.120022, 0.819204
5.130023, 0.772889
5.140023, 0.759580
5.150023, 0.709804
5.160023, 0.689042
5.170023, 0.630482
5.180024, 0.618238
5.190024, 0.554620
5.200024, 0.530132
5.210024, 0.463320
5.220025, 0.446018
5.230025, 0.375214
5.240025, 0.347531
5.250025, 0.273799
5.260026, 0.256231
5.270026, 0.180104
5.280026, 0.148694
5.290026, 0.069106
5.300026, 0.049941
5.310027, -0.029381
5.320027, -0.049344
5.330027, -0.140645
5.340027, -0.160874
5.350028, -0.235139
5.360028, -0.253239
5.370028, -0.328568
5.380028, -0.356784
5.390028, -0.422530
5.400029, -0.439566
5.410029, -0.506910
5.420029, -0.531931
5.430029, -0.595548
5.440030, -0.610720
5.450030, -0.671942
5.460030, -0.691639
5.470030, -0.745674
5.480031, -0.758983
5.490031, -0.806363
5.500031, -0.814082
5.510031, -0.856139
5.520031, -0.866254
5.530032, -0.895268
5.540032, -0.902455
5.550032, -0.928008
5.560032, -0.936526
5.570033, -0.956756
5.580033, -0.961014
5.590033, -0.972726
5.600033, -0.974856
5.610034, -0.978848
5.620034, -0.978849
5.630034, -0.971395
5.640034, -0.967403
5.650034, -0.951698
5.660035, -0.947705
5.670035, -0.925346
5.680035, -0.916296
5.690035, -0.886750
5.700036, -0.878232
5.710036, -0.844161
5.720036, -0.835377
5.730036, -0.795716
5.740036, -0.778148
5.750037, -0.729969
5.760037, -0.717193
5.770037, -0.662359
5.780037, -0.642396
5.790038, -0.582771
5.800038, -0.567333
5.810038, -0.503715
5.820038, -0.487212
5.830039, -0.420135
5.840039, -0.394847
5.850039, -0.326439
5.860039, -0.308605
5.870039, -0.237002
5.880040, -0.210118
5.890040, -0.138781
5.900040, -0.120415
5.910040, -0.046416
5.920041, -0.018201
5.930041, 0.053401
5.940041, 0.071768
5.950041, 0.144435
5.960042, 0.162269
5.970042, 0.238930
5.980042, 0.255699
5.990042, 0.320913
6.000042, 0.337683
6.010043, 0.399703
6.020043, 0.421264
6.030043, 0.479557
6.040043, 0.493665
6.050044, 0.548498
6.060044, 0.568994
6.070044, 0.617173
6.080044, 0.628885
6.090044, 0.672272
6.100045, 0.683186
6.110045, 0.726573
6.120045, 0.733760
6.130045, 0.764371
6.140046, 0.770493
6.150046, 0.798442
6.160046, 0.806960
6.170046, 0.826657
6.180047, 0.831449
6.190047, 0.844758
6.200047, 0.849283
6.210047, 0.857268
6.220047, 0.857800
6.230048, 0.859131
6.240048, 0.857268
6.250048, 0.853542
6.260048, 0.851678
6.270049, 0.838369
6.280049, 0.834643
6.290049, 0.813881
6.300049, 0.806960
6.310050, 0.785665
6.320050, 0.779543
6.330050, 0.750263
6.340050, 0.736954
6.350050, 0.705013
6.360051, 0.697293
6.370051, 0.658963
6.380051, 0.650179
6.390051, 0.603065
6.400052, 0.592418
6.410052, 0.546635
6.420052, 0.533060
6.430052, 0.483284
6.440053, 0.465183
6.450053, 0.414609
6.460053, 0.401300
6.470053, 0.346201
6.480053, 0.325705
6.490054, 0.270605
6.500054, 0.256498
6.510054, 0.200866
6.520054, 0.185960
6.530055, 0.118882
6.540055, 0.106638
6.550055, 0.048876
6.560055, 0.034769
6.570055, -0.023259
6.580056, -0.045086
6.590056, -0.100717
6.600056, -0.114559
6.610056, -0.169392
6.620057, -0.187759
6.630057, -0.240729
6.640057, -0.251642
6.650057, -0.301418
6.660058, -0.312331
6.670058, -0.366632
6.680058, -0.379409
6.690058, -0.421732
6.700058, -0.432911
6.710059, -0.472572
6.720059, -0.487745
6.730059, -0.523945
6.740059, -0.531398
6.750060, -0.563606
6.760060, -0.572656
6.770060, -0.603001
6.780060, -0.608058
6.790061, -0.633079
6.800061, -0.638137
6.810061, -0.656503
6.820061, -0.659964
6.830061, -0.676999
6.840062, -0.678330
6.850062, -0.689244
6.860062, -0.691639
6.870062, -0.694567
6.880063, -0.694035
6.890063, -0.693502
6.900063, -0.693502
6.910063, -0.686049
6.920063, -0.684186
6.930064, -0.678330
6.940064, -0.676201
6.950064, -0.658100
6.960064, -0.654906
6.970065, -0.636806
6.980065, -0.627756
6.990065, -0.606994
7.000065, -0.602202
7.010066, -0.574520
7.020066, -0.568397
7.030066, -0.540182
7.040066, -0.527938
7.050066, -0.496262
7.060067, -0.488011
7.070067, -0.451012
7.080067, -0.436372
7.090067, -0.400703
7.100068, -0.391387
7.110068, -0.348532
7.120068, -0.332827
7.130068, -0.292368
7.140069, -0.279857
