t, phi
2.919998, 0.794579
2.929998, 0.794583
2.939998, 0.794543
2.949998, 0.794546
2.959998, 0.794552
2.969998, 0.794567
2.979998, 0.794554
2.989998, 0.794521
2.999998, 0.794546
3.009998, 0.794537
3.019998, 0.794581
3.029998, 0.794566
3.039998, 0.794587
3.049998, 0.794577
3.059998, 0.794600
3.069998, 0.794633
3.079998, 0.794658
3.089998, 0.794637
3.099998, 0.794604
3.109998, 0.794629
3.119998, 0.794646
3.129997, 0.794640
3.139997, 0.794638
3.149997, 0.794615
3.159997, 0.794622
3.169997, 0.794630
3.179997, 0.794644
3.189997, 0.794620
3.199997, 0.794638
3.209997, 0.794654
3.219997, 0.794689
3.229997, 0.794700
3.239997, 0.794707
3.249997, 0.794708
3.259997, 0.794766
3.269997, 0.794782
3.279997, 0.794803
3.289997, 0.794794
3.299997, 0.794791
3.309997, 0.794793
3.319997, 0.794792
3.329997, 0.794797
3.339997, 0.794827
3.349997, 0.794826
3.359997, 0.794819
3.369997, 0.794840
3.379997, 0.794866
3.389997, 0.794861
3.399997, 0.794905
3.409997, 0.794946
3.419997, 0.794960
3.429997, 0.794957
3.439997, 0.794921
3.449997, 0.794952
3.459997, 0.794992
3.469997, 0.794962
3.479997, 0.794958
3.489997, 0.794865
3.499997, 0.794761
3.509997, 0.791440
3.519997, 0.788940
3.529997, 0.779255
3.539997, 0.769088
3.549997, 0.758177
3.559997, 0.748103
3.569997, 0.732316
3.579997, 0.717204
3.589997, 0.699966
3.599997, 0.682231
3.609997, 0.662384
3.619997, 0.642574
3.629997, 0.620059
3.639997, 0.597487
3.649997, 0.573318
3.659997, 0.548756
3.669997, 0.522590
3.679997, 0.496383
3.689997, 0.468348
3.699997, 0.439833
3.709997, 0.410687
3.719997, 0.381206
3.729997, 0.350208
3.739997, 0.319214
3.749997, 0.287207
3.759997, 0.255003
3.769997, 0.222299
3.779997, 0.189395
3.789997, 0.155871
3.799997, 0.122453
3.809997, 0.088548
3.819997, 0.054742
3.829997, 0.020899
3.839997, -0.012753
3.849997, -0.046237
3.859997, -0.079801
3.869997, -0.112455
3.879997, -0.144991
3.889997, -0.176827
3.899997, -0.208155
3.909997, -0.238300
3.919997, -0.267784
3.929997, -0.295809
3.939997, -0.323059
3.949997, -0.348595
3.959997, -0.374104
3.969997, -0.396536
3.979997, -0.417587
3.989997, -0.437083
3.999997, -0.455246
4.009997, -0.471199
4.019997, -0.486299
4.029997, -0.498612
4.039998, -0.509673
4.049998, -0.518026
4.059998, -0.524891
4.069998, -0.529120
4.079998, -0.532466
4.089999, -0.532946
4.099999, -0.532682
4.109999, -0.529585
4.119999, -0.525768
4.130000, -0.518962
4.140000, -0.511555
4.150000, -0.501894
4.160000, -0.491595
4.170001, -0.479416
4.180001, -0.466676
4.190001, -0.451730
4.200001, -0.437101
4.210001, -0.419867
4.220002, -0.402140
4.230002, -0.385000
4.240002, -0.367022
4.250002, -0.346875
4.260003, -0.327174
4.270003, -0.306028
4.280003, -0.284222
4.290003, -0.261959
4.300004, -0.238810
4.310004, -0.215355
4.320004, -0.191862
4.330004, -0.166959
4.340004, -0.142214
4.350005, -0.117062
4.360005, -0.091846
4.370005, -0.066131
4.380005, -0.040535
4.390006, -0.014575
4.400006, 0.011448
4.410006, 0.037415
4.420006, 0.063339
4.430007, 0.089172
4.440007, 0.114833
4.450007, 0.140196
4.460007, 0.165424
4.470007, 0.190064
4.480008, 0.214434
4.490008, 0.238328
4.500008, 0.261791
4.510008, 0.284522
4.520009, 0.306942
4.530009, 0.328286
4.540009, 0.349383
4.550009, 0.369314
4.560009, 0.388765
4.570010, 0.406852
4.580010, 0.424520
4.590010, 0.440666
4.600010, 0.456410
4.610011, 0.470617
4.620011, 0.484426
4.630011, 0.496501
4.640011, 0.507971
4.650012, 0.517698
4.660012, 0.526911
4.670012, 0.534135
4.680012, 0.540915
4.690012, 0.545767
4.700013, 0.550187
4.710013, 0.552703
4.720013, 0.554730
4.730013, 0.554623
4.740014, 0.554072
4.750014, 0.551651
4.760014, 0.548510
4.770014, 0.543615
4.780015, 0.538267
4.790015, 0.531279
4.800015, 0.523861
4.810015, 0.514822
4.820015, 0.505115
4.830016, 0.493881
4.840016, 0.482103
4.850016, 0.468794
4.860016, 0.455155
4.870017, 0.440119
4.880017, 0.424778
4.890017, 0.408135
4.900017, 0.391203
4.910017, 0.373015
4.920018, 0.354478
4.930018, 0.334786
4.940018, 0.314715
4.950018, 0.293642
4.960019, 0.272400
4.970019, 0.250314
4.980019, 0.228096
4.990019, 0.205128
5.000020, 0.181953
5.010020, 0.158191
5.020020, 0.134284
5.030020, 0.109952
5.040020, 0.085651
5.050021, 0.061033
5.060021, 0.036481
5.070021, 0.011748
5.080021, -0.012804
5.090022, -0.037350
5.100022, -0.061792
5.110022, -0.085864
5.120022, -0.109646
5.130023, -0.132772
5.140023, -0.156185
5.150023, -0.178304
5.160023, -0.200317
5.170023, -0.221231
5.180024, -0.242197
5.190024, -0.261865
5.200024, -0.281601
5.210024, -0.299028
5.220025, -0.316055
5.230025, -0.331749
5.240025, -0.346908
5.250025, -0.359650
5.260026, -0.371920
5.270026, -0.382263
5.280026, -0.392065
5.290026, -0.399357
5.300026, -0.405547
5.310027, -0.410065
5.320027, -0.414195
5.330027, -0.415739
5.340027, -0.416896
5.350028, -0.416136
5.360028, -0.414502
5.370028, -0.411025
5.380028, -0.406821
5.390028, -0.400688
5.400029, -0.393693
5.410029, -0.385490
5.420029, -0.376613
5.430029, -0.367009
5.440030, -0.357477
5.450030, -0.346582
5.460030, -0.333532
5.470030, -0.320889
5.480031, -0.308189
5.490031, -0.293014
5.500031, -0.278338
5.510031, -0.262791
5.520031, -0.246736
5.530032, -0.229749
5.540032, -0.212382
5.550032, -0.194782
5.560032, -0.176873
5.570033, -0.158115
5.580033, -0.139238
5.590033, -0.120047
5.600033, -0.100811
5.610034, -0.081114
5.620034, -0.061613
5.630034, -0.041679
5.640034, -0.021723
5.650034, -0.001912
5.660035, 0.017908
5.670035, 0.037879
5.680035, 0.057630
5.690035, 0.077311
5.700036, 0.096865
5.710036, 0.115991
5.720036, 0.134936
5.730036, 0.153623
5.740036, 0.172005
5.750037, 0.189690
5.760037, 0.207237
5.770037, 0.224137
5.780037, 0.240673
5.790038, 0.256433
5.800038, 0.272002
5.810038, 0.286628
5.820038, 0.300856
5.830039, 0.314002
5.840039, 0.326762
5.850039, 0.338481
5.860039, 0.349673
5.870039, 0.359541
5.880040, 0.369111
5.890040, 0.377411
5.900040, 0.385316
5.910040, 0.391889
5.920041, 0.398076
5.930041, 0.402870
5.940041, 0.407104
5.950041, 0.409918
5.960042, 0.412159
5.970042, 0.412950
5.980042, 0.413366
5.990042, 0.412315
6.000042, 0.410956
6.010043, 0.408173
6.020043, 0.405069
6.030043, 0.400365
6.040043, 0.395188
6.050044, 0.388768
6.060044, 0.382026
6.070044, 0.374023
6.080044, 0.365738
6.090044, 0.356223
6.100045, 0.346422
6.110045, 0.335506
6.120045, 0.324243
6.130045, 0.311910
6.140046, 0.299269
6.150046, 0.285558
6.160046, 0.271582
6.170046, 0.256782
6.180047, 0.241778
6.190047, 0.226033
6.200047, 0.210124
6.210047, 0.193548
6.220047, 0.176721
6.230048, 0.159347
6.240048, 0.141790
6.250048, 0.123807
6.260048, 0.105742
6.270049, 0.087370
6.280049, 0.068945
6.290049, 0.050301
6.300049, 0.031661
6.310050, 0.012991
6.320050, -0.005669
6.330050, -0.024336
6.340050, -0.042868
6.350050, -0.061267
