t, ur
2.339998, -1034.929810
2.349998, -1035.952148
2.359998, -1035.952393
2.369998, -1035.951660
2.379998, -1035.441040
2.389998, -1035.440796
2.399998, -1035.441040
2.409998, -1034.930054
2.419998, -1035.441284
2.429998, -1035.441528
2.439998, -1034.930542
2.449998, -1035.441040
2.459998, -1035.441040
2.469998, -1035.440796
2.479998, -1035.441528
2.489998, -1035.441040
2.499998, -1034.930054
2.509998, -1035.441040
2.519998, -1034.930054
2.529998, -1034.930908
2.539998, -1034.929810
2.549998, -1035.951904
2.559998, -1035.441040
2.569998, -1035.440796
2.579998, -1034.929810
2.589998, -1035.441040
2.599998, -1034.929565
2.609998, -1035.441895
2.619998, -1035.441895
2.629998, -1035.440552
2.639998, -1034.930054
2.649998, -1034.930054
2.659998, -1034.418945
2.669998, -1034.930054
2.679998, -1035.951904
2.689998, -1035.441040
2.699998, -1034.930054
2.709998, -1035.441528
2.719998, -1035.441040
2.729998, -1035.440796
2.739998, -1035.952148
2.749998, -1035.441040
2.759998, -1034.929565
2.769998, -1035.440552
2.779998, -1035.441284
2.789998, -1035.440796
2.799998, -1035.440308
2.809998, -1035.440796
2.819998, -1035.440308
2.829998, -1035.441284
2.839998, -1035.441284
2.849998, -1035.440552
2.859998, -1035.441040
2.869998, -1035.441284
2.879998, -1035.440552
2.889998, -1034.929565
2.899998, -1035.440552
2.909998, -1035.440552
2.919998, -1035.440796
2.929998, -1035.441040
2.939998, -1034.418457
2.949998, -1035.441284
2.959998, -1034.930542
2.969998, -1035.441284
2.979998, -1036.463257
2.989998, -1035.441528
2.999998, -1034.930908
3.009998, -1034.929810
3.019998, -1034.419189
3.029998, -1035.441528
3.039998, -1035.440796
3.049998, -1035.440796
3.059998, -1035.441528
3.069998, -1034.930542
3.079998, -1035.441528
3.089998, -1035.951904
3.099998, -1035.440308
3.109998, -1034.929810
3.119998, -1035.441528
3.129997, -1035.952148
3.139997, -1034.929810
3.149997, -1035.441040
3.159997, -1035.440552
3.169997, -1035.440552
3.179997, -1035.440796
3.189997, -1035.440552
3.199997, -1034.930542
3.209997, -1035.441284
3.219997, -1035.441284
3.229997, -1035.441528
3.239997, -1034.929810
3.249997, -1035.441528
3.259997, -1034.929810
3.269997, -1035.441040
3.279997, -1035.441284
3.289997, -1035.440796
3.299997, -1035.440552
3.309997, -1035.441284
3.319997, -1034.930298
3.329997, -1035.441040
3.339997, -1034.930054
3.349997, -1035.440796
3.359997, -1035.440796
3.369997, -1035.952148
3.379997, -1034.930542
3.389997, -1035.441040
3.399997, -1035.441284
3.409997, -1035.440796
3.419997, -1035.441040
3.429997, -1034.930054
3.439997, -1035.440796
3.449997, -1035.952148
3.459997, -1035.441284
3.469997, -1035.440796
3.479997, -1035.440552
3.489997, -1034.930542
3.499997, -1035.952393
3.509997, -1035.440796
3.519997, -1035.441040
3.529997, -1035.440796
3.539997, -1034.930054
3.549997, -1035.441284
3.559997, -1035.440552
3.569997, -1035.441040
3.579997, -1035.441284
3.589997, -1035.440796
3.599997, -1036.463257
3.609997, -1035.952393
3.619997, -1034.930054
3.629997, -1035.441040
3.639997, -1034.930298
3.649997, -1035.441040
3.659997, -1034.930542
3.669997, -1035.441040
3.679997, -1035.951904
3.689997, -1035.440796
3.699997, -1036.463501
3.709997, -1035.441284
3.719997, -1035.441040
3.729997, -1035.441040
3.739997, -1035.440552
3.749997, -1035.441284
3.759997, -1036.463257
3.769997, -1035.952393
3.779997, -1035.440796
3.789997, -1035.441284
3.799997, -1034.929810
3.809997, -1035.441040
3.819997, -1035.441528
3.829997, -1035.441040
3.839997, -1035.441284
3.849997, -1035.441528
3.859997, -1034.930542
3.869997, -1035.952637
3.879997, -1036.463501
3.889997, -1035.952393
3.899997, -1035.951904
3.909997, -1035.441040
3.919997, -1034.930298
3.929997, -1035.951904
3.939997, -1034.930542
3.949997, -1035.440796
3.959997, -1036.463013
3.969997, -1035.441040
3.979997, -1035.441284
3.989997, -1035.951416
3.999997, -1035.440552
4.009997, -1035.441284
4.019997, -1034.930298
4.029997, -1035.953003
4.039998, -1035.441284
4.049998, -1035.441284
4.059998, -1035.440796
4.069998, -1035.951904
4.079998, -1035.441040
4.089999, -1035.951904
4.099999, -1035.440796
4.109999, -1035.951660
4.119999, -1035.441040
4.130000, -1035.951904
4.140000, -1035.441040
4.150000, -1035.951660
4.160000, -1035.440552
4.170001, -1035.951416
4.180001, -1035.440796
4.190001, -1035.440796
4.200001, -1035.952148
4.210001, -1035.441284
4.220002, -1035.441284
4.230002, -1035.440796
4.240002, -1034.930054
4.250002, -1035.953003
4.260003, -1035.952148
4.270003, -1035.952148
4.280003, -1036.463501
4.290003, -1035.951660
4.300004, -1034.929565
4.310004, -1035.951904
4.320004, -1035.952393
4.330004, -1035.441528
4.340004, -1034.930542
4.350005, -1035.441040
4.360005, -1035.441528
4.370005, -1035.441284
4.380005, -1034.929565
4.390006, -1035.441528
4.400006, -1035.441528
4.410006, -1035.440796
4.420006, -1034.418945
4.430007, -1034.930298
4.440007, -1035.952148
4.450007, -1035.951904
4.460007, -1034.930298
4.470007, -1035.951904
4.480008, -1035.440796
4.490008, -1035.952393
4.500008, -1035.440796
4.510008, -1035.440552
4.520009, -1035.441528
4.530009, -1035.440552
4.540009, -1036.463501
4.550009, -1035.952393
4.560009, -1034.929810
4.570010, -1035.440308
4.580010, -1035.439941
4.590010, -1035.952148
4.600010, -1035.952148
4.610011, -1035.440308
4.620011, -1035.441040
4.630011, -1035.952637
4.640011, -1034.930054
4.650012, -1035.441284
4.660012, -1034.929565
4.670012, -1035.441528
4.680012, -1035.441040
4.690012, -1035.440552
4.700013, -1035.440308
4.710013, -1035.441284
4.720013, -1035.440796
4.730013, -1035.951904
4.740014, -1034.930054
4.750014, -1035.441284
4.760014, -1035.440796
4.770014, -1036.463257
4.780015, -1035.441040
4.790015, -1035.441284
4.800015, -1035.952393
4.810015, -1035.440796
4.820015, -1036.462524
4.830016, -1035.441284
4.840016, -1034.419434
4.850016, -1035.441284
4.860016, -1035.441528
4.870017, -1035.440796
4.880017, -1036.463745
4.890017, -1035.951904
4.900017, -1035.952148
4.910017, -1035.952637
4.920018, -1036.463745
4.930018, -1035.441040
4.940018, -1035.440796
4.950018, -1035.440552
4.960019, -1035.440796
4.970019, -1035.952393
4.980019, -1035.952637
4.990019, -1035.951660
5.000020, -1035.441040
5.010020, -1035.951416
5.020020, -1034.930054
5.030020, -1035.440796
5.040020, -1035.440796
5.050021, -1035.952148
5.060021, -1035.439941
5.070021, -1035.952393
5.080021, -1034.930054
5.090022, -1034.930298
5.100022, -1034.930298
5.110022, -1035.440796
5.120022, -1035.441284
5.130023, -1035.441040
5.140023, -1035.441284
5.150023, -1035.440796
5.160023, -1034.929565
5.170023, -1035.441284
5.180024, -1036.463501
5.190024, -1035.441895
5.200024, -1034.930542
5.210024, -1035.441284
5.220025, -1035.441284
5.230025, -1035.951904
5.240025, -1034.930054
5.250025, -1035.440796
5.260026, -1034.418945
5.270026, -1035.440308
5.280026, -1035.440552
5.290026, -1034.929810
5.300026, -1034.929810
5.310027, -1035.441284
5.320027, -1035.952148
5.330027, -1035.441528
5.340027, -1035.441040
5.350028, -1035.440796
5.360028, -1035.440308
5.370028, -1035.441040
5.380028, -1034.930298
5.390028, -1035.952148
5.400029, -1034.929810
5.410029, -1035.951904
5.420029, -1034.930054
5.430029, -1035.440796
5.440030, -1034.929810
5.450030, -1035.440552
5.460030, -1035.441040
5.470030, -1035.441284
5.480031, -1034.930298
5.490031, -1035.441284
5.500031, -1035.441284
5.510031, -1034.930298
5.520031, -1034.930054
5.530032, -1035.441284
5.540032, -1034.930054
5.550032, -1035.441040
5.560032, -1034.418701
5.570033, -1035.952393
5.580033, -1034.930298
5.590033, -1035.441528
5.600033, -1035.441284
5.610034, -1035.951904
5.620034, -1034.930298
5.630034, -1035.441040
5.640034, -1035.441284
5.650034, -1035.441528
5.660035, -1034.930298
5.670035, -1035.441284
5.680035, -1034.930298
5.690035, -1035.440796
5.700036, -1034.929565
5.710036, -1035.440308
5.720036, -1034.929810
5.730036, -1035.952148
5.740036, -1035.440552
5.750037, -1035.441040
5.760037, -1034.930054
5.770037, -1035.952393
5.780037, -1035.441040
5.790038, -1035.441284
5.800038, -1035.441284
5.810038, -1035.441040
5.820038, -1035.952148
5.830039, -1035.952393
5.840039, -1034.930054
5.850039, -1035.441284
5.860039, -1035.441040
5.870039, -1035.951904
5.880040, -1035.441895
5.890040, -1035.952393
5.900040, -1035.441284
5.910040, -1035.951904
5.920041, -1035.440796
5.930041, -1035.952148
5.940041, -1034.930298
5.950041, -1035.952393
5.960042, -1035.441040
5.970042, -1035.440796
5.980042, -1034.930298
5.990042, -1035.441040
6.000042, -1034.930298
6.010043, -1035.441528
6.020043, -1034.930054
6.030043, -1035.441040
6.040043, -1034.418701
6.050044, -1035.440552
6.060044, -1035.441040
6.070044, -1035.441040
6.080044, -1034.930054
6.090044, -1035.951904
6.100045, -1035.441040
6.110045, -1035.440796
6.120045, -1035.441040
6.130045, -1034.929565
6.140046, -1034.930298
6.150046, -1035.441040
6.160046, -1035.441040
6.170046, -1035.440308
6.180047, -1034.929565
6.190047, -1035.440552
6.200047, -1034.928955
6.210047, -1035.440796
6.220047, -1034.930298
6.230048, -1035.440796
6.240048, -1034.930542
6.250048, -1035.952393
6.260048, -1034.930054
6.270049, -1035.952393
6.280049, -1035.440796
6.290049, -1035.441528
6.300049, -1035.441284
6.310050, -1035.440796
6.320050, -1035.951904
6.330050, -1035.440796
6.340050, -1035.440552
6.350050, -1035.440796
6.360051, -1035.440796
6.370051, -1035.440308
6.380051, -1035.951660
6.390051, -1034.929565
6.400052, -1035.440552
6.410052, -1035.951904
6.420052, -1035.441040
6.430052, -1035.952393
6.440053, -1035.441284
6.450053, -1035.952148
6.460053, -1035.440552
6.470053, -1035.441528
6.480053, -1035.440796
6.490054, -1035.441284
6.500054, -1035.440552
6.510054, -1035.440552
6.520054, -1035.440552
6.530055, -1035.440552
6.540055, -1035.440308
6.550055, -1035.951660
6.560055, -1035.440552
6.570055, -1035.441284
6.580056, -1034.929565
6.590056, -1035.440796
6.600056, -1034.930054
6.610056, -1035.440796
6.620057, -1035.440796
6.630057, -1035.440796
6.640057, -1034.930054
6.650057, -1035.441040
6.660058, -1035.441528
6.670058, -1034.929810
6.680058, -1035.440552
6.690058, -1035.440796
6.700058, -1035.440796
6.710059, -1035.441284
6.720059, -1035.440552
6.730059, -1035.441040
6.740059, -1035.951416
6.750060, -1035.440796
6.760060, -1034.929810
6.770060, -1034.930054
6.780060, -1035.441284
6.790061, -1035.952148
6.800061, -1035.441040
6.810061, -1035.441284
6.820061, -1034.930054
6.830061, -1035.440796
6.840062, -1035.440552
6.850062, -1035.952148
6.860062, -1034.929810
6.870062, -1035.440796
6.880063, -1035.952148
6.890063, -1035.952393
6.900063, -1034.929565
6.910063, -1035.952148
6.920063, -1034.929810
6.930064, -1035.441040
6.940064, -1035.439697
6.950064, -1035.441040
6.960064, -1035.441284
6.970065, -1035.951416
6.980065, -1035.441040
6.990065, -1035.440796
7.000065, -1035.441040
7.010066, -1034.930054
7.020066, -1035.441040
7.030066, -1035.440796
7.040066, -1034.930542
7.050066, -1034.929321
7.060067, -1035.441528
7.070067, -1035.441528
7.080067, -1034.930054
7.090067, -1035.441040
7.100068, -1034.930908
7.110068, -1034.930298
7.120068, -1034.930298
7.130068, -1034.930054
7.140069, -1034.930298
7.150069, -1035.440796
7.160069, -1034.929810
7.170069, -1035.951904
7.180069, -1034.929810
7.190070, -1034.930298
7.200070, -1035.440796
7.210070, -1034.929565
7.220070, -1035.951660
7.230071, -1035.441040
7.240071, -1034.930054
7.250071, -1035.441040
7.260071, -1035.440552
7.270072, -1035.441284
7.280072, -1035.441040
7.290072, -1035.440552
7.300072, -1035.440796
7.310072, -1034.930542
7.320073, -1034.418945
7.330073, -1035.440796
7.340073, -1035.440552
7.350073, -1035.440308
7.360074, -1034.930298
7.370074, -1034.930908
7.380074, -1034.930542
7.390074, -1035.441284
7.400074, -1035.951416
7.410075, -1035.441284
7.420075, -1035.440796
7.430075, -1034.930298
7.440075, -1034.930054
7.450076, -1034.930054
7.460076, -1035.441284
7.470076, -1035.440552
7.480076, -1035.440308
7.490077, -1034.930054
7.500077, -1034.418945
7.510077, -1035.441284
7.520077, -1035.440796
7.530077, -1035.951660
7.540078, -1035.440796
7.550078, -1035.951904
7.560078, -1035.441528
7.570078, -1035.952148
7.580079, -1034.930298
7.590079, -1035.952148
7.600079, -1035.951904
7.610079, -1035.441284
7.620080, -1034.930298
7.630080, -1035.441040
7.640080, -1035.952637
7.650080, -1035.952393
7.660080, -1035.440552
7.670081, -1035.441528
7.680081, -1034.930542
7.690081, -1035.440796
7.700081, -1034.930054
7.710082, -1035.441040
7.720082, -1034.929810
7.730082, -1035.441040
7.740082, -1035.441284
7.750082, -1035.440552
7.760083, -1034.929810
7.770083, -1035.440796
7.780083, -1034.930054
7.790083, -1035.952148
7.800084, -1035.441040
7.810084, -1035.440796
7.820084, -1035.441528
7.830084, -1035.952148
7.840085, -1035.440552
7.850085, -1035.440796
7.860085, -1033.907837
7.870085, -1035.441040
7.880085, -1034.929810
7.890086, -1035.441040
7.900086, -1035.441040
7.910086, -1035.441040
7.920086, -1034.929321
7.930087, -1035.440796
7.940087, -1035.441284
7.950087, -1035.439941
7.960087, -1034.929810
7.970088, -1035.441284
7.980088, -1034.930054
7.990088, -1034.929810
8.000088, -1034.929810
8.010088, -1035.951660
8.020088, -1034.929565
8.030088, -1035.441040
8.040089, -1035.441284
8.050089, -1035.441528
8.060089, -1034.930542
8.070089, -1035.441284
8.080090, -1035.441040
8.090090, -1035.951660
8.100090, -1034.418945
8.110090, -1034.930054
8.120090, -1034.930298
8.130091, -1035.440796
8.140091, -1035.441284
8.150091, -1035.441040
8.160091, -1035.440552
8.170092, -1035.951904
8.180092, -1034.929565
8.190092, -1035.440796
8.200092, -1035.441528
8.210093, -1035.440796
8.220093, -1034.418945
8.230093, -1035.951904
8.240093, -1035.440796
8.250093, -1035.441284
8.260094, -1034.930298
8.270094, -1035.441040
8.280094, -1035.441528
8.290094, -1034.929810
8.300095, -1035.951904
8.310095, -1035.440796
8.320095, -1035.441895
8.330095, -1035.441284
8.340096, -1035.440796
8.350096, -1035.952637
8.360096, -1035.441528
8.370096, -1035.440308
8.380096, -1034.930298
8.390097, -1035.441284
8.400097, -1034.929565
8.410097, -1035.441528
8.420097, -1035.441528
