t, phi
2.919998, -0.013241
2.929998, -0.002539
2.939998, -0.012889
2.949998, -0.017188
2.959998, -0.014065
2.969998, -0.008470
2.979998, -0.004373
2.989998, -0.010057
2.999998, -0.015720
3.009998, -0.017045
3.019998, -0.010048
3.029998, -0.013362
3.039998, -0.007065
3.049998, -0.011881
3.059998, -0.012879
3.069998, -0.013489
3.079998, -0.014624
3.089998, -0.015971
3.099998, -0.005746
3.109998, -0.012142
3.119998, -0.015264
3.129997, -0.005037
3.139997, -0.010838
3.149997, -0.011001
3.159997, -0.009302
3.169997, -0.003367
3.179997, -0.006916
3.189997, -0.010449
3.199997, -0.002730
3.209997, -0.016683
3.219997, -0.012542
3.229997, -0.007402
3.239997, -0.006272
3.249997, -0.004564
3.259997, -0.012551
3.269997, -0.012851
3.279997, -0.020381
3.289997, -0.014614
3.299997, -0.016867
3.309997, -0.010956
3.319997, -0.009038
3.329997, -0.013366
3.339997, -0.001138
3.349997, -0.012898
3.359997, -0.005534
3.369997, -0.007861
3.379997, -0.010231
3.389997, -0.013509
3.399997, -0.010428
3.409997, -0.014586
3.419997, -0.014229
3.429997, -0.007717
3.439997, -0.011526
3.449997, -0.005095
3.459997, -0.011185
3.469997, -0.000435
3.479997, 0.000419
3.489997, -0.009021
3.499997, -0.007131
3.509997, -0.010803
3.519997, -0.009665
3.529997, -0.002780
3.539997, -0.004304
3.549997, -0.005502
3.559997, -0.001370
3.569997, -0.008292
3.579997, -0.009744
3.589997, -0.003792
3.599997, -0.007319
3.609997, -0.012069
3.619997, -0.012585
3.629997, -0.016577
3.639997, -0.002274
3.649997, 0.000566
3.659997, -0.013320
3.669997, -0.003352
3.679997, -0.003572
3.689997, -0.004938
3.699997, -0.012181
3.709997, -0.013165
3.719997, -0.007636
3.729997, -0.004368
3.739997, -0.010835
3.749997, -0.008689
3.759997, -0.002591
3.769997, -0.008478
3.779997, -0.010893
3.789997, -0.005019
3.799997, -0.012008
3.809997, -0.003149
3.819997, -0.008909
3.829997, -0.007344
3.839997, -0.003833
3.849997, -0.008086
3.859997, -0.004099
3.869997, -0.019073
3.879997, -0.011657
3.889997, -0.015763
3.899997, -0.003381
3.909997, -0.010854
3.919997, 0.000653
3.929997, -0.016666
3.939997, -0.010482
3.949997, -0.010015
3.959997, -0.007690
3.969997, -0.008550
3.979997, -0.014601
3.989997, -0.016774
3.999997, -0.002748
4.009997, -0.013080
4.019997, -0.004978
4.029997, -0.012806
4.039998, -0.006389
4.049998, -0.006201
4.059998, -0.016251
4.069998, -0.002775
4.079998, -0.013975
4.089999, -0.011425
4.099999, -0.013349
4.109999, -0.003483
4.119999, -0.006333
4.130000, -0.015444
4.140000, -0.007851
4.150000, -0.004764
4.160000, -0.003242
4.170001, -0.006129
4.180001, -0.009231
4.190001, -0.006378
4.200001, -0.011904
4.210001, -0.006648
4.220002, -0.015865
4.230002, -0.008938
4.240002, -0.017954
4.250002, -0.001509
4.260003, -0.003813
4.270003, -0.005171
4.280003, -0.005706
4.290003, -0.004986
4.300004, 0.007368
4.310004, -0.009384
4.320004, -0.005526
4.330004, -0.013235
4.340004, -0.014697
4.350005, -0.011738
4.360005, -0.012487
4.370005, -0.010688
4.380005, -0.003688
4.390006, -0.001298
4.400006, -0.008245
4.410006, -0.005943
4.420006, -0.004563
4.430007, -0.010100
4.440007, -0.011544
4.450007, -0.013952
4.460007, -0.005154
4.470007, -0.002298
4.480008, -0.014785
4.490008, -0.010265
4.500008, -0.013954
4.510008, -0.022051
4.520009, -0.008125
4.530009, -0.000210
4.540009, 0.004072
4.550009, -0.005621
4.560009, -0.017716
4.570010, -0.010910
4.580010, -0.007384
4.590010, -0.014125
4.600010, -0.010678
4.610011, -0.013905
4.620011, -0.000362
4.630011, -0.010427
4.640011, -0.019366
4.650012, -0.012026
4.660012, -0.016852
4.670012, -0.008144
4.680012, -0.005815
4.690012, -0.010247
4.700013, -0.003203
4.710013, -0.019071
4.720013, -0.013270
4.730013, -0.009538
4.740014, -0.009534
4.750014, -0.015127
4.760014, -0.011554
4.770014, -0.003864
4.780015, -0.008361
4.790015, -0.016060
4.800015, -0.015029
4.810015, -0.005526
4.820015, -0.016158
4.830016, -0.002177
4.840016, -0.014444
4.850016, -0.015250
4.860016, -0.006668
4.870017, -0.005590
4.880017, -0.012924
4.890017, -0.013917
4.900017, -0.011782
4.910017, -0.022011
4.920018, -0.012402
4.930018, -0.003107
4.940018, -0.011144
4.950018, -0.005733
4.960019, -0.011018
4.970019, -0.001673
4.980019, 0.009107
4.990019, -0.009283
5.000020, -0.008796
5.010020, -0.014141
5.020020, -0.013065
5.030020, -0.011105
5.040020, -0.013960
5.050021, -0.005855
5.060021, -0.011909
5.070021, -0.007163
5.080021, -0.015497
5.090022, -0.008559
5.100022, -0.018645
5.110022, -0.008792
5.120022, -0.019614
5.130023, -0.013382
5.140023, -0.018761
5.150023, -0.012907
5.160023, -0.009383
5.170023, -0.008631
5.180024, -0.009053
5.190024, -0.012696
5.200024, -0.007551
5.210024, -0.005945
5.220025, -0.012357
5.230025, -0.005612
5.240025, -0.012033
5.250025, -0.007156
5.260026, -0.010959
5.270026, -0.006846
5.280026, -0.014632
5.290026, -0.014807
5.300026, -0.013960
5.310027, -0.008689
5.320027, -0.014639
5.330027, -0.012206
5.340027, -0.016967
5.350028, -0.012085
5.360028, -0.006005
5.370028, -0.003721
5.380028, -0.015150
5.390028, -0.012688
5.400029, -0.001807
5.410029, -0.016870
5.420029, -0.016569
5.430029, -0.006488
5.440030, -0.011419
5.450030, -0.009347
5.460030, -0.012884
5.470030, -0.004502
5.480031, -0.009848
5.490031, -0.003821
5.500031, -0.011822
5.510031, -0.003475
5.520031, -0.015360
5.530032, -0.005300
5.540032, -0.011413
5.550032, -0.003266
5.560032, -0.019174
5.570033, -0.005184
5.580033, -0.015910
5.590033, -0.009774
5.600033, -0.017641
5.610034, -0.004758
5.620034, -0.012148
5.630034, -0.005969
5.640034, -0.011878
5.650034, -0.013849
5.660035, -0.015390
5.670035, -0.007659
5.680035, -0.005176
5.690035, -0.012094
5.700036, -0.005463
5.710036, -0.018816
5.720036, -0.005775
5.730036, -0.014445
5.740036, -0.001520
5.750037, -0.015913
5.760037, -0.006418
5.770037, -0.002486
5.780037, -0.011544
5.790038, -0.007168
5.800038, -0.014498
5.810038, -0.009200
5.820038, -0.012263
5.830039, -0.008083
5.840039, -0.019830
5.850039, -0.010187
5.860039, -0.015440
5.870039, -0.016919
5.880040, -0.009279
5.890040, -0.014150
5.900040, -0.010810
5.910040, -0.002432
5.920041, -0.007245
5.930041, -0.010824
5.940041, -0.009321
5.950041, -0.009531
5.960042, -0.011038
5.970042, -0.007565
5.980042, -0.007330
5.990042, -0.012908
6.000042, -0.008560
6.010043, -0.008580
6.020043, -0.007141
6.030043, -0.005094
6.040043, -0.010667
6.050044, -0.015943
6.060044, -0.013273
6.070044, -0.009578
6.080044, -0.007544
6.090044, -0.015718
6.100045, -0.010605
6.110045, -0.014088
6.120045, -0.009635
6.130045, -0.007974
6.140046, -0.004950
6.150046, -0.005149
6.160046, -0.006123
6.170046, -0.012463
6.180047, -0.011869
6.190047, -0.016917
6.200047, -0.021180
6.210047, -0.010172
6.220047, -0.005699
6.230048, -0.009991
6.240048, 0.001436
6.250048, -0.005935
6.260048, -0.016768
6.270049, -0.012726
6.280049, -0.008310
6.290049, -0.009397
6.300049, -0.006436
6.310050, -0.001572
6.320050, -0.004165
6.330050, -0.004496
6.340050, -0.013905
6.350050, -0.010037
6.360051, -0.016689
6.370051, -0.016087
6.380051, -0.007583
6.390051, -0.006393
6.400052, -0.006553
6.410052, -0.004282
6.420052, -0.007127
6.430052, -0.003071
6.440053, -0.007551
6.450053, -0.011792
6.460053, -0.014236
6.470053, -0.006281
6.480053, -0.010226
6.490054, -0.006749
6.500054, -0.005385
6.510054, -0.008068
6.520054, -0.005842
6.530055, -0.006883
6.540055, -0.011897
6.550055, -0.006276
6.560055, -0.020943
6.570055, -0.014081
6.580056, -0.011397
6.590056, -0.012049
6.600056, -0.010062
6.610056, -0.005483
6.620057, -0.002392
6.630057, -0.010645
6.640057, -0.009898
6.650057, -0.015363
6.660058, -0.010345
6.670058, -0.016625
6.680058, -0.009129
6.690058, -0.016755
6.700058, 0.001707
6.710059, -0.015005
6.720059, -0.010109
6.730059, -0.010174
6.740059, -0.006856
6.750060, -0.005097
6.760060, -0.008419
6.770060, -0.010117
6.780060, -0.009386
6.790061, -0.012482
6.800061, -0.011806
6.810061, -0.006146
6.820061, -0.006624
6.830061, -0.016822
6.840062, -0.008958
6.850062, -0.008720
6.860062, -0.004169
6.870062, 0.000066
6.880063, -0.014514
6.890063, -0.013776
6.900063, -0.008267
6.910063, -0.002166
6.920063, -0.004856
6.930064, -0.012991
6.940064, -0.007454
6.950064, -0.004567
6.960064, -0.011785
6.970065, -0.002832
6.980065, -0.009904
6.990065, -0.006684
7.000065, -0.002429
7.010066, -0.004840
7.020066, -0.009829
7.030066, -0.015590
7.040066, -0.005918
7.050066, -0.010604
7.060067, -0.016183
7.070067, -0.012798
7.080067, -0.012505
7.090067, -0.004541
7.100068, -0.004698
7.110068, -0.004069
7.120068, -0.013106
7.130068, -0.020115
7.140069, -0.011523
7.150069, -0.013272
7.160069, -0.001761
7.170069, -0.009990
7.180069, -0.007551
7.190070, -0.002769
7.200070, 0.000327
7.210070, -0.001944
7.220070, -0.006651
7.230071, -0.014091
7.240071, -0.008312
7.250071, -0.007890
7.260071, -0.007567
7.270072, -0.006896
7.280072, -0.003296
7.290072, -0.006484
7.300072, -0.011009
7.310072, -0.007180
7.320073, -0.017153
7.330073, -0.015556
7.340073, -0.015303
7.350073, -0.013367
7.360074, -0.018259
7.370074, -0.008150
7.380074, -0.017002
7.390074, -0.016068
7.400074, -0.003515
7.410075, -0.004565
7.420075, -0.001778
7.430075, -0.006608
7.440075, 0.000185
7.450076, -0.005084
7.460076, -0.001339
7.470076, -0.014191
7.480076, -0.006772
7.490077, -0.008631
7.500077, -0.010439
7.510077, -0.012345
7.520077, -0.017026
7.530077, -0.012926
7.540078, -0.009649
7.550078, -0.003698
7.560078, -0.006984
7.570078, -0.004441
7.580079, -0.008995
7.590079, -0.005693
7.600079, -0.012214
7.610079, -0.005017
7.620080, -0.007783
7.630080, -0.017075
7.640080, -0.004009
7.650080, -0.007866
7.660080, -0.003077
7.670081, -0.008478
7.680081, -0.010120
7.690081, -0.011964
7.700081, 0.004371
7.710082, -0.014878
7.720082, -0.014890
7.730082, -0.002457
7.740082, -0.000920
7.750082, -0.005736
7.760083, 0.003520
7.770083, -0.006282
7.780083, -0.013208
7.790083, -0.017540
7.800084, -0.010680
7.810084, -0.005778
7.820084, -0.005444
7.830084, -0.013440
7.840085, -0.014227
7.850085, -0.009218
7.860085, -0.006615
7.870085, -0.012548
7.880085, -0.009830
7.890086, -0.008099
7.900086, -0.002190
7.910086, -0.011055
7.920086, -0.005740
7.930087, -0.009772
7.940087, -0.005754
7.950087, -0.016577
7.960087, -0.010864
7.970088, -0.012625
7.980088, -0.001352
7.990088, -0.004450
8.000088, -0.000760
8.010088, -0.014571
8.020088, -0.002952
8.030088, -0.006527
8.040089, -0.001175
8.050089, -0.004837
8.060089, -0.008937
8.070089, -0.008575
8.080090, -0.008781
8.090090, 0.005004
8.100090, -0.003125
8.110090, -0.012904
8.120090, -0.010869
8.130091, -0.005088
8.140091, -0.008108
8.150091, -0.008101
8.160091, -0.012843
8.170092, -0.005219
8.180092, -0.012652
8.190092, -0.008555
8.200092, -0.001190
8.210093, -0.019904
8.220093, -0.011349
8.230093, -0.017420
8.240093, -0.007790
8.250093, -0.005075
8.260094, -0.006751
8.270094, -0.018210
8.280094, -0.010059
8.290094, -0.003852
8.300095, -0.008742
8.310095, -0.018337
8.320095, -0.013109
8.330095, -0.006335
8.340096, -0.013328
8.350096, -0.013121
8.360096, -0.010691
8.370096, -0.010982
8.380096, -0.005890
8.390097, -0.002077
8.400097, -0.008129
8.410097, -0.012863
8.420097, -0.023038
8.430098, -0.008944
8.440098, 0.002616
8.450098, -0.004699
8.460098, -0.011826
8.470098, -0.013882
8.480099, -0.006899
8.490099, -0.009451
8.500099, -0.010413
8.510099, -0.013546
8.520100, -0.009378
8.530100, -0.026963
8.540100, -0.016394
8.550100, -0.014256
8.560101, -0.019302
8.570101, -0.013031
8.580101, -0.010836
8.590101, -0.020752
8.600101, -0.004985
8.610102, -0.017447
8.620102, -0.012046
8.630102, -0.004144
8.640102, -0.012105
8.650103, -0.010768
8.660103, -0.010308
8.670103, -0.010153
8.680103, -0.000673
8.690104, -0.001451
8.700104, -0.007905
8.710104, -0.009709
8.720104, -0.015190
8.730104, -0.010463
8.740105, -0.007073
8.750105, -0.006125
8.760105, -0.007658
8.770105, -0.011703
8.780106, -0.011358
8.790106, -0.018922
8.800106, -0.014124
8.810106, -0.013940
8.820107, -0.006194
8.830107, -0.012094
8.840107, -0.012944
8.850107, -0.013100
8.860107, -0.008261
8.870108, -0.004548
8.880108, -0.001965
8.890108, -0.004170
8.900108, -0.009325
8.910109, -0.007287
8.920109, -0.017145
8.930109, -0.017770
8.940109, -0.011708
8.950109, -0.011548
8.960110, -0.007351
8.970110, -0.007561
8.980110, -0.008960
8.990110, -0.012862
9.000111, -0.006190
9.010111, -0.011133
9.020111, -0.007725
9.030111, -0.003925
9.040112, -0.013531
9.050112, -0.011794
9.060112, -0.009681
9.070112, -0.005599
9.080112, -0.008925
9.090113, -0.017080
9.100113, -0.010680
9.110113, -0.012429
9.120113, 0.000184
9.130114, -0.009373
9.140114, -0.017193
9.150114, -0.009126
9.160114, -0.004280
9.170115, -0.008713
9.180115, -0.011922
9.190115, -0.008719
9.200115, -0.009182
9.210115, -0.014284
9.220116, -0.002324
9.230116, -0.008697
9.240116, -0.000237
9.250116, -0.010578
9.260117, -0.010555
9.270117, -0.012116
9.280117, -0.014851
9.290117, -0.006020
9.300117, -0.007645
9.310118, -0.009542
9.320118, -0.008808
9.330118, -0.004206
9.340118, -0.007965
9.350119, -0.011634
9.360119, -0.013893
9.370119, -0.012795
9.380119, -0.010992
9.390120, -0.010072
9.400120, -0.017148
9.410120, -0.017787
9.420120, -0.011500
9.430120, -0.007361
9.440121, -0.011146
9.450121, -0.008508
9.460121, -0.003357
9.470121, -0.010852
9.480122, -0.011551
9.490122, -0.007671
9.500122, -0.015474
9.510122, -0.011432
9.520123, -0.007908
9.530123, -0.012262
9.540123, -0.009626
9.550123, -0.013201
9.560123, -0.005760
9.570124, -0.006906
9.580124, -0.002877
9.590124, -0.008109
9.600124, -0.008241
9.610125, -0.006304
9.620125, -0.003703
9.630125, -0.002181
9.640125, -0.003519
9.650126, -0.013671
9.660126, -0.011167
9.670126, -0.014190
9.680126, -0.011513
9.690126, -0.009407
9.700127, -0.006240
9.710127, -0.012933
9.720127, -0.011588
9.730127, -0.012925
9.740128, -0.007680
9.750128, -0.006899
9.760128, -0.005838
9.770128, -0.003179
9.780128, -0.010269
9.790129, -0.015979
9.800129, -0.017275
9.810129, -0.008920
9.820129, -0.009598
9.830130, -0.008499
9.840130, -0.012732
9.850130, -0.006240
9.860130, -0.013980
9.870131, -0.008629
9.880131, -0.021344
9.890131, -0.015862
9.900131, -0.006543
9.910131, -0.019410
9.920132, -0.005735
9.930132, -0.010690
9.940132, -0.003491
9.950132, -0.007218
9.960133, -0.009119
9.970133, -0.019688
9.980133, -0.013585
9.990133, -0.008033
10.000134, -0.013097
10.010134, -0.002216
10.020134, -0.011401
10.030134, -0.003558
10.040134, 0.001804
10.050135, -0.011909
10.060135, -0.004225
10.070135, -0.008485
10.080135, -0.004239
10.090136, -0.010373
10.100136, -0.007855
10.110136, -0.015916
10.120136, -0.015263
10.130136, -0.017980
10.140137, -0.010204
10.150137, -0.002316
10.160137, -0.004353
10.170137, -0.005206
10.180138, -0.014288
10.190138, -0.016440
10.200138, -0.013093
10.210138, -0.013331
10.220139, -0.016298
10.230139, -0.003286
10.240139, 0.000643
10.250139, -0.014081
10.260139, -0.008833
10.270140, -0.001574
10.280140, -0.009598
10.290140, -0.003915
10.300140, -0.014724
10.310141, -0.011439
10.320141, -0.010668
10.330141, -0.000332
10.340141, -0.003376
10.350142, -0.007403
10.360142, -0.014428
10.370142, -0.009154
10.380142, -0.018776
10.390142, -0.006449
10.400143, -0.003305
10.410143, -0.010080
10.420143, -0.000616
10.430143, -0.010226
10.440144, -0.002837
10.450144, -0.008676
10.460144, -0.016083
10.470144, -0.007783
10.480145, -0.009888
10.490145, -0.008869
10.500145, 0.009877
10.510145, -0.014774
10.520145, -0.002703
10.530146, -0.004560
10.540146, -0.004085
10.550146, -0.013749
10.560146, -0.014246
10.570147, -0.013318
10.580147, -0.006894
10.590147, -0.007059
10.600147, -0.009204
10.610147, -0.004480
10.620148, -0.010486
10.630148, -0.005636
10.640148, -0.018448
