t, phi
0.000000, 2.361672
0.020000, 2.361633
0.030000, 2.361627
0.040000, 2.361602
0.050000, 2.361629
0.060000, 2.361631
0.070000, 2.361603
0.080000, 2.361619
0.090000, 2.361622
0.100000, 2.361613
0.110000, 2.361597
0.120000, 2.361551
0.130000, 2.361534
0.140000, 2.361559
0.150000, 2.361530
0.160000, 2.361512
0.170000, 2.361470
0.180000, 2.361459
0.190000, 2.361466
0.200000, 2.361408
0.210000, 2.361360
0.220000, 2.361320
0.230000, 2.361313
0.240000, 2.361305
0.250000, 2.361283
0.260000, 2.361274
0.270000, 2.361266
0.280000, 2.361236
0.300000, 2.361281
0.310000, 2.361256
0.320000, 2.361220
0.330000, 2.361244
0.340000, 2.361261
0.350000, 2.361221
0.360000, 2.361183
0.370000, 2.361192
0.380000, 2.361216
0.390000, 2.361176
0.400000, 2.361208
0.410000, 2.361180
0.420000, 2.361176
0.430000, 2.361160
0.440000, 2.361157
0.450000, 2.361158
0.460000, 2.361154
0.470000, 2.361092
0.480000, 2.361057
0.490000, 2.361013
0.500000, 2.361026
0.510000, 2.360968
0.520000, 2.360952
0.530000, 2.360949
0.540000, 2.360975
0.550000, 2.360955
0.560000, 2.360935
0.570000, 2.360910
0.580000, 2.360915
0.590000, 2.360909
0.600000, 2.360949
0.610000, 2.360914
0.620000, 2.360925
0.630000, 2.360939
0.640000, 2.360956
0.650000, 2.360897
0.660000, 2.360874
0.670000, 2.360875
0.680000, 2.360858
0.690000, 2.360858
0.700000, 2.360865
0.710000, 2.360892
0.720000, 2.360826
0.730000, 2.360857
0.740000, 2.360856
0.750000, 2.360886
0.760000, 2.360880
0.770000, 2.360870
0.780000, 2.360862
0.790000, 2.360846
0.800000, 2.360828
0.810000, 2.360795
0.820000, 2.360760
0.830000, 2.360794
0.839999, 2.360808
0.849999, 2.360821
0.859999, 2.360809
0.869999, 2.360818
0.879999, 2.360852
0.889999, 2.360807
0.899999, 2.360807
0.909999, 2.360800
0.919999, 2.360768
0.929999, 2.360750
0.939999, 2.360748
0.949999, 2.360747
0.959999, 2.360755
0.969999, 2.360739
0.979999, 2.360750
0.989999, 2.360745
0.999999, 2.360710
1.009999, 2.360666
1.019999, 2.360646
1.029999, 2.360660
1.039999, 2.360642
1.049999, 2.360663
1.059999, 2.360652
1.069999, 2.360668
1.079999, 2.360672
1.089999, 2.360700
1.099999, 2.360733
1.109999, 2.360725
1.119999, 2.360725
1.129999, 2.360726
1.139999, 2.360706
1.149999, 2.360665
1.159999, 2.360640
1.169999, 2.360658
1.179999, 2.360658
1.189999, 2.360612
1.199999, 2.360623
1.209999, 2.360622
1.219999, 2.360610
1.229999, 2.360612
1.239999, 2.360587
1.249999, 2.360606
1.259999, 2.360595
1.269999, 2.360635
1.279999, 2.360635
1.289999, 2.360630
1.299999, 2.360640
1.309999, 2.360671
1.319999, 2.360666
1.329999, 2.360646
1.339999, 2.360636
1.349999, 2.360595
1.359999, 2.360556
1.369999, 2.360566
1.379999, 2.360539
1.389999, 2.360560
1.399999, 2.360528
1.409999, 2.360555
1.419999, 2.360559
1.429999, 2.360558
1.439999, 2.360516
1.449999, 2.360523
1.459999, 2.360539
1.469999, 2.360523
1.479999, 2.360545
1.489999, 2.360539
1.499999, 2.360577
1.509999, 2.360568
1.519999, 2.360529
1.529999, 2.360538
1.539999, 2.360503
1.549999, 2.360459
1.559999, 2.360465
1.569999, 2.360440
1.579999, 2.360480
1.589999, 2.360469
1.599999, 2.360444
1.609999, 2.360477
1.619999, 2.360523
1.629999, 2.360510
1.639999, 2.360525
1.649999, 2.360519
1.659999, 2.360518
1.669999, 2.360544
1.679999, 2.360590
1.689999, 2.360580
1.699999, 2.360599
1.709999, 2.360592
1.719999, 2.360586
1.729999, 2.360531
1.739999, 2.360541
1.749999, 2.360587
1.759999, 2.360587
1.769999, 2.360539
1.779999, 2.360532
1.789999, 2.360568
1.799999, 2.360553
1.809999, 2.360527
1.819999, 2.360484
1.829999, 2.360479
1.839999, 2.360465
1.849999, 2.360463
1.859999, 2.360450
1.869999, 2.360425
1.879999, 2.360429
1.889999, 2.360440
1.899999, 2.360400
1.909999, 2.360380
1.919999, 2.360370
1.929999, 2.360379
1.939999, 2.360336
1.949998, 2.360307
1.959998, 2.360250
1.969998, 2.360266
1.979998, 2.360252
1.989998, 2.360217
1.999998, 2.360150
2.009999, 2.360208
2.019999, 2.360250
2.029999, 2.360236
2.039999, 2.360187
2.049999, 2.360202
2.059999, 2.360251
2.069999, 2.360264
2.079998, 2.360293
2.089998, 2.360311
2.099998, 2.360338
2.109998, 2.360345
2.119998, 2.360357
2.129998, 2.360377
2.139998, 2.360394
2.149998, 2.360350
2.159998, 2.360407
2.169998, 2.360392
2.179998, 2.360384
2.189998, 2.360412
2.199998, 2.360437
2.209998, 2.360459
2.219998, 2.360460
2.229998, 2.360412
2.239998, 2.360370
2.249998, 2.360405
2.259998, 2.360433
2.269998, 2.360392
2.279998, 2.360375
2.289998, 2.360373
2.299998, 2.360345
2.309998, 2.360309
2.319998, 2.360325
2.329998, 2.360301
2.339998, 2.360297
2.349998, 2.360266
2.359998, 2.360296
2.369998, 2.360314
2.379998, 2.360239
2.389998, 2.360218
2.399998, 2.360269
2.409998, 2.360226
2.419998, 2.360189
2.429998, 2.360161
2.439998, 2.360158
2.449998, 2.360192
2.459998, 2.360161
2.469998, 2.360146
2.479998, 2.360151
2.489998, 2.360178
2.499998, 2.360204
2.509998, 2.360185
2.519998, 2.360148
2.529998, 2.360170
2.539998, 2.360207
2.549998, 2.360197
2.559998, 2.360194
2.569998, 2.360230
2.579998, 2.360242
2.589998, 2.360196
2.599998, 2.360144
2.609998, 2.360115
2.619998, 2.360096
2.629998, 2.360113
2.639998, 2.360091
2.649998, 2.360021
2.659998, 2.360057
2.669998, 2.360076
2.679998, 2.360014
2.689998, 2.360028
2.699998, 2.360031
2.709998, 2.360026
2.719998, 2.359997
2.729998, 2.360007
2.739998, 2.360051
2.749998, 2.360000
2.759998, 2.359974
2.769998, 2.360011
2.779998, 2.359973
2.789998, 2.359961
2.799998, 2.359953
2.809998, 2.359933
2.819998, 2.359911
2.829998, 2.359912
2.839998, 2.359933
2.849998, 2.359880
2.859998, 2.359825
2.869998, 2.359821
2.879998, 2.359852
2.889998, 2.359834
2.899998, 2.359883
2.909998, 2.359932
2.919998, 2.359943
2.929998, 2.359906
2.939998, 2.359947
2.949998, 2.359925
2.959998, 2.359911
2.969998, 2.359928
2.979998, 2.359882
2.989998, 2.359884
2.999998, 2.359920
3.009998, 2.359871
3.019998, 2.359799
3.029998, 2.359831
3.039998, 2.359889
3.049998, 2.359883
3.059998, 2.359873
3.069998, 2.359857
3.079998, 2.359851
3.089998, 2.359893
3.099998, 2.359982
3.109998, 2.359947
3.119998, 2.359959
3.129997, 2.359942
3.139997, 2.359922
3.149997, 2.359926
3.159997, 2.359907
3.169997, 2.359890
