t, ur
0.000000, 286.156860
0.020000, 0.470703
0.030000, 0.470215
0.040000, 0.470215
0.050000, -0.040283
0.060000, 0.470215
0.070000, -0.040527
0.080000, 0.471313
0.090000, 0.470215
0.100000, 0.470459
0.110000, 0.471069
0.120000, 0.471069
0.130000, -0.040283
0.140000, 0.470459
0.150000, 0.470703
0.160000, 0.470459
0.170000, 0.471069
0.180000, 0.470459
0.190000, 0.981323
0.200000, -0.040283
0.210000, 0.470215
0.220000, 0.470703
0.230000, 0.981567
0.240000, 0.469971
0.250000, 0.471313
0.260000, 0.469971
0.270000, 0.469971
0.280000, 0.471069
0.300000, 0.981567
0.310000, 0.470459
0.320000, 0.469971
0.330000, 0.981567
0.340000, 0.981323
0.350000, 0.469971
0.360000, 0.981323
0.370000, 0.981812
0.380000, 0.981567
0.390000, 0.470459
0.400000, 0.469482
0.410000, 0.981323
0.420000, 1.492920
0.430000, 0.981079
0.440000, 0.981323
0.450000, 0.470459
0.460000, 1.491943
0.470000, 0.469971
0.480000, 1.492676
0.490000, -0.041016
0.500000, 0.981323
0.510000, 0.471069
0.520000, 0.982178
0.530000, 0.470703
0.540000, 0.471069
0.550000, 0.981567
0.560000, 0.981567
0.570000, 0.469971
0.580000, 0.980835
0.590000, 0.471069
0.600000, 0.981323
0.610000, 0.470215
0.620000, 0.980225
0.630000, -0.040283
0.640000, 0.981079
0.650000, 0.980225
0.660000, 0.981567
0.670000, 0.981812
0.680000, 0.981567
0.690000, 0.470459
0.700000, 0.981567
0.710000, 0.980835
0.720000, 0.981323
0.730000, -0.041260
0.740000, 0.470703
0.750000, 0.981323
0.760000, 0.470459
0.770000, 0.470703
0.780000, 0.982910
0.790000, 0.470703
0.800000, 0.981079
0.810000, 0.471313
0.820000, 1.492920
0.830000, 0.981812
0.839999, 0.471069
0.849999, -0.040283
0.859999, 0.982422
0.869999, 0.470215
0.879999, 1.492432
0.889999, 0.470703
0.899999, 0.470703
0.909999, 0.471313
0.919999, 1.493530
0.929999, 0.471558
0.939999, 0.982178
0.949999, 0.981567
0.959999, 1.492920
0.969999, 0.470703
0.979999, 0.470459
0.989999, 0.470459
0.999999, 0.981079
1.009999, 0.470703
1.019999, 0.981567
1.029999, 0.981812
1.039999, 0.470703
1.049999, 0.470215
1.059999, 0.981323
1.069999, 0.470703
1.079999, 0.981323
1.089999, 0.470459
1.099999, 0.981567
1.109999, 0.981812
1.119999, 0.470703
1.129999, 0.982178
1.139999, 0.981567
1.149999, 0.470459
1.159999, 0.981567
1.169999, 0.469971
1.179999, 0.981079
1.189999, 0.982666
1.199999, 0.982178
1.209999, 0.982178
1.219999, 0.470703
1.229999, 0.470459
1.239999, 0.981567
1.249999, 0.981567
1.259999, 1.492676
1.269999, 0.470215
1.279999, 0.981567
1.289999, 0.470459
1.299999, 0.470703
1.309999, 0.470703
1.319999, 0.981323
1.329999, 3.025879
1.339999, 3.536865
1.349999, 3.536621
1.359999, 4.048218
1.369999, 3.536865
1.379999, 3.537476
1.389999, 3.026489
1.399999, 4.048218
1.409999, 3.536865
1.419999, 4.047974
1.429999, 3.537109
1.439999, 4.048218
1.449999, 3.025879
1.459999, 3.536621
1.469999, 3.024902
1.479999, 4.047485
1.489999, 3.025391
1.499999, 4.047729
1.509999, 3.536865
1.519999, 3.536377
1.529999, 3.535889
1.539999, 4.047241
1.549999, 3.026123
1.559999, 4.048584
1.569999, 3.025879
1.579999, 3.536377
1.589999, 3.025879
1.599999, 4.049072
1.609999, 3.538208
1.619999, 4.559326
1.629999, 5.070068
1.639999, 6.603027
1.649999, 6.092896
1.659999, 6.092285
1.669999, 5.580933
1.679999, 6.092285
1.689999, 5.581787
1.699999, 6.092041
1.709999, 5.581177
1.719999, 6.093384
1.729999, 6.092529
1.739999, 6.092285
1.749999, 6.092041
1.759999, 6.603516
1.769999, 5.580688
1.779999, 6.092285
1.789999, 6.093140
1.799999, 6.603882
1.809999, 8.135742
1.819999, 8.647339
1.829999, 8.648193
1.839999, 6.092285
1.849999, 7.114624
1.859999, 5.582275
1.869999, 8.646606
1.879999, 8.647339
1.889999, 9.158936
1.899999, 9.158203
1.909999, 8.137329
1.919999, 8.647827
1.929999, 8.647827
1.939999, 10.180786
1.949998, 8.646606
1.959998, 9.158447
1.969998, 8.648193
1.979998, 8.647339
1.989998, 8.137085
1.999998, 9.669922
2.009999, 8.647339
2.019999, 8.137085
2.029999, 11.202148
2.039999, 11.714294
2.049999, 10.692505
2.059999, 11.714050
2.069999, 10.691895
2.079998, 11.201904
2.089998, 10.692505
2.099998, 11.202393
2.109998, 11.203735
2.119998, 10.692993
2.129998, 11.203491
2.139998, 10.692749
2.149998, 11.202881
2.159998, 11.714294
2.169998, 10.180542
2.179998, 11.203125
2.189998, 11.202393
2.199998, 11.714294
2.209998, 11.201538
2.219998, 10.691406
2.229998, 10.691162
2.239998, 12.224548
2.249998, 13.757751
2.259998, 13.246948
2.269998, 11.713745
2.279998, 12.224243
2.289998, 14.268860
2.299998, 13.247253
2.309998, 13.757996
2.319998, 14.270203
2.329998, 14.268860
2.339998, 14.269653
2.349998, 13.758301
2.359998, 14.270203
2.369998, 14.269104
2.379998, 14.270447
2.389998, 13.247253
2.399998, 14.269653
2.409998, 13.248291
2.419998, 14.269897
2.429998, 14.269897
2.439998, 13.757996
2.449998, 13.246704
2.459998, 13.246704
2.469998, 13.757996
2.479998, 14.269409
2.489998, 13.246948
