t, phi
0.000000, 2.366899
0.020000, 2.366873
0.030000, 2.366772
0.040000, 2.366731
0.050000, 2.366637
0.060000, 2.366584
0.070000, 2.366568
0.080000, 2.366499
0.090000, 2.366460
0.100000, 2.366443
0.110000, 2.366429
0.120000, 2.366408
0.130000, 2.366365
0.140000, 2.366344
0.150000, 2.366338
0.160000, 2.366315
0.170000, 2.366312
0.180000, 2.366307
0.190000, 2.366290
0.200000, 2.366254
0.210000, 2.366281
0.220000, 2.366230
0.230000, 2.366161
0.240000, 2.366168
0.250000, 2.366172
0.260000, 2.366102
0.270000, 2.366042
0.280000, 2.365986
0.300000, 2.366003
0.310000, 2.365999
0.320000, 2.365897
0.330000, 2.365868
0.340000, 2.365828
0.350000, 2.365831
0.360000, 2.365781
0.370000, 2.365752
0.380000, 2.365709
0.390000, 2.365657
0.400000, 2.365638
0.410000, 2.365615
0.420000, 2.365517
0.430000, 2.365512
0.440000, 2.365490
0.450000, 2.365456
0.460000, 2.365461
0.470000, 2.365417
0.480000, 2.365385
0.490000, 2.365339
0.500000, 2.365243
0.510000, 2.365264
0.520000, 2.365202
0.530000, 2.365177
0.540000, 2.365147
0.550000, 2.365110
0.560000, 2.365064
0.570000, 2.365051
0.580000, 2.365018
0.590000, 2.364991
0.600000, 2.364985
0.610000, 2.364948
0.620000, 2.364884
0.630000, 2.364873
0.640000, 2.364812
0.650000, 2.364796
0.660000, 2.364839
0.670000, 2.364830
0.680000, 2.364789
0.690000, 2.364753
0.700000, 2.364763
0.710000, 2.364706
0.720000, 2.364649
0.730000, 2.364605
0.740000, 2.364570
0.750000, 2.364518
0.760000, 2.364455
0.770000, 2.364419
0.780000, 2.364435
0.790000, 2.364429
0.800000, 2.364366
0.810000, 2.364398
0.820000, 2.364378
0.830000, 2.364337
0.839999, 2.364313
0.849999, 2.364314
0.859999, 2.364306
0.869999, 2.364309
0.879999, 2.364318
0.889999, 2.364299
0.899999, 2.364275
0.909999, 2.364264
0.919999, 2.364229
0.929999, 2.364168
0.939999, 2.364159
0.949999, 2.364155
0.959999, 2.364127
0.969999, 2.364110
0.979999, 2.364103
0.989999, 2.364096
0.999999, 2.364050
1.009999, 2.364059
1.019999, 2.364091
1.029999, 2.364074
1.039999, 2.364036
1.049999, 2.364037
1.059999, 2.364020
1.069999, 2.364026
1.079999, 2.363989
1.089999, 2.363920
1.099999, 2.363891
1.109999, 2.363860
1.119999, 2.363808
1.129999, 2.363795
1.139999, 2.363779
1.149999, 2.363755
1.159999, 2.363748
1.169999, 2.363701
1.179999, 2.363697
1.189999, 2.363689
1.199999, 2.363721
1.209999, 2.363706
1.219999, 2.363732
1.229999, 2.363674
1.239999, 2.363677
1.249999, 2.363604
1.259999, 2.363572
1.269999, 2.363484
1.279999, 2.363457
1.289999, 2.363469
1.299999, 2.363488
1.309999, 2.363430
1.319999, 2.363430
1.329999, 2.363405
1.339999, 2.363334
1.349999, 2.363295
1.359999, 2.363243
1.369999, 2.363197
1.379999, 2.363197
1.389999, 2.363229
1.399999, 2.363216
1.409999, 2.363184
1.419999, 2.363141
1.429999, 2.363151
1.439999, 2.363141
1.449999, 2.363118
1.459999, 2.363111
1.469999, 2.363041
1.479999, 2.363007
1.489999, 2.362980
1.499999, 2.362970
1.509999, 2.362945
1.519999, 2.362968
1.529999, 2.362911
1.539999, 2.362835
1.549999, 2.362799
1.559999, 2.362771
1.569999, 2.362740
1.579999, 2.362739
1.589999, 2.362709
1.599999, 2.362668
1.609999, 2.362699
1.619999, 2.362715
1.629999, 2.362630
1.639999, 2.362591
1.649999, 2.362602
1.659999, 2.362531
1.669999, 2.362522
1.679999, 2.362468
1.689999, 2.362512
1.699999, 2.362552
1.709999, 2.362496
1.719999, 2.362486
1.729999, 2.362512
1.739999, 2.362511
1.749999, 2.362462
1.759999, 2.362447
1.769999, 2.362388
1.779999, 2.362352
1.789999, 2.362329
1.799999, 2.362372
1.809999, 2.362344
1.819999, 2.362267
1.829999, 2.362293
1.839999, 2.362236
1.849999, 2.362249
1.859999, 2.362262
1.869999, 2.362188
1.879999, 2.362120
1.889999, 2.362119
1.899999, 2.362176
1.909999, 2.362157
1.919999, 2.362201
1.929999, 2.362153
1.939999, 2.362167
1.949998, 2.362145
1.959998, 2.362071
1.969998, 2.362100
1.979998, 2.362141
1.989998, 2.362108
1.999998, 2.362083
2.009999, 2.362023
2.019999, 2.362091
2.029999, 2.362043
2.039999, 2.361982
2.049999, 2.361960
2.059999, 2.361933
2.069999, 2.361950
2.079998, 2.361902
2.089998, 2.361935
2.099998, 2.361951
2.109998, 2.362022
2.119998, 2.362073
2.129998, 2.362039
2.139998, 2.362113
2.149998, 2.362068
2.159998, 2.362072
2.169998, 2.362028
2.179998, 2.361960
2.189998, 2.361937
2.199998, 2.361936
2.209998, 2.361842
2.219998, 2.361748
2.229998, 2.361633
2.239998, 2.361541
2.249998, 2.361528
2.259998, 2.361442
2.269998, 2.361389
2.279998, 2.361324
2.289998, 2.361250
2.299998, 2.361160
2.309998, 2.361071
2.319998, 2.361077
2.329998, 2.361027
2.339998, 2.361027
2.349998, 2.361005
2.359998, 2.360996
2.369998, 2.360980
2.379998, 2.360950
2.389998, 2.361027
2.399998, 2.361130
2.409998, 2.361202
2.419998, 2.361269
2.429998, 2.361298
2.439998, 2.361292
2.449998, 2.361322
2.459998, 2.361282
2.469998, 2.361280
2.479998, 2.361235
2.489998, 2.361229
2.499998, 2.361228
2.509998, 2.361170
2.519998, 2.361155
2.529998, 2.361212
2.539998, 2.361264
2.549998, 2.361304
2.559998, 2.361292
2.569998, 2.361262
2.579998, 2.361282
2.589998, 2.361303
2.599998, 2.361314
2.609998, 2.361293
2.619998, 2.361274
2.629998, 2.361263
2.639998, 2.361186
2.649998, 2.361190
2.659998, 2.361283
2.669998, 2.361262
2.679998, 2.361168
2.689998, 2.361119
2.699998, 2.361108
2.709998, 2.361099
2.719998, 2.361101
2.729998, 2.361113
2.739998, 2.361060
2.749998, 2.361030
2.759998, 2.361025
2.769998, 2.360948
2.779998, 2.360900
2.789998, 2.360862
2.799998, 2.360790
2.809998, 2.360762
2.819998, 2.360753
2.829998, 2.360745
2.839998, 2.360766
2.849998, 2.360787
2.859998, 2.360752
2.869998, 2.360770
2.879998, 2.360745
2.889998, 2.360721
2.899998, 2.360669
2.909998, 2.360677
2.919998, 2.360639
2.929998, 2.360625
2.939998, 2.360603
2.949998, 2.360612
2.959998, 2.360614
2.969998, 2.360590
2.979998, 2.360552
2.989998, 2.360535
2.999998, 2.360522
3.009998, 2.360492
3.019998, 2.360535
3.029998, 2.360525
3.039998, 2.360490
3.049998, 2.360535
3.059998, 2.360554
3.069998, 2.360476
3.079998, 2.360466
3.089998, 2.360435
3.099998, 2.360439
3.109998, 2.360419
3.119998, 2.360346
3.129997, 2.360322
3.139997, 2.360384
3.149997, 2.360352
3.159997, 2.360337
3.169997, 2.360326
3.179997, 2.360312
3.189997, 2.360309
3.199997, 2.360323
3.209997, 2.360318
