t, phi
2.919998, -0.017749
2.929998, -0.012236
2.939998, -0.020207
2.949998, -0.012814
2.959998, -0.018974
2.969998, -0.018040
2.979998, -0.027114
2.989998, -0.023490
2.999998, -0.019018
3.009998, -0.021604
3.019998, -0.022829
3.029998, -0.014089
3.039998, -0.016769
3.049998, -0.014465
3.059998, -0.022831
3.069998, -0.015240
3.079998, -0.018495
3.089998, -0.022286
3.099998, -0.026282
3.109998, -0.019576
3.119998, -0.020513
3.129997, -0.015851
3.139997, -0.023112
3.149997, -0.018078
3.159997, -0.021948
3.169997, -0.011612
3.179997, -0.016677
3.189997, -0.018256
3.199997, -0.019911
3.209997, -0.024986
3.219997, -0.016803
3.229997, -0.017929
3.239997, -0.022954
3.249997, -0.023283
3.259997, -0.023056
3.269997, -0.011557
3.279997, -0.015263
3.289997, -0.023959
3.299997, -0.022613
3.309997, -0.025653
3.319997, -0.024332
3.329997, -0.027178
3.339997, -0.020273
3.349997, -0.019864
3.359997, -0.021684
3.369997, -0.014472
3.379997, -0.016122
3.389997, -0.015163
3.399997, -0.010640
3.409997, -0.016189
3.419997, -0.013840
3.429997, -0.019226
3.439997, -0.011778
3.449997, -0.025951
3.459997, -0.014957
3.469997, -0.025187
3.479997, -0.013645
3.489997, -0.018925
3.499997, -0.019308
3.509997, -0.020602
3.519997, -0.024935
3.529997, -0.012180
3.539997, -0.008491
3.549997, -0.020295
3.559997, -0.024873
3.569997, -0.012734
3.579997, -0.011135
3.589997, -0.019089
3.599997, -0.024745
3.609997, -0.024930
3.619997, -0.019003
3.629997, -0.022768
3.639997, -0.013564
3.649997, -0.014058
3.659997, -0.021767
3.669997, -0.024602
3.679997, -0.011222
3.689997, -0.015343
3.699997, -0.024333
3.709997, -0.019404
3.719997, -0.013682
3.729997, -0.019878
3.739997, -0.012075
3.749997, -0.022933
3.759997, -0.016482
3.769997, -0.017472
3.779997, -0.016000
3.789997, -0.020172
3.799997, -0.020729
3.809997, -0.022090
3.819997, -0.016418
3.829997, -0.023148
3.839997, -0.019427
3.849997, -0.022206
3.859997, -0.013742
3.869997, -0.020894
3.879997, -0.019616
3.889997, -0.023449
3.899997, -0.018503
3.909997, -0.016134
3.919997, -0.013346
3.929997, -0.020590
3.939997, -0.014064
3.949997, -0.016532
3.959997, -0.015863
3.969997, -0.020123
3.979997, -0.022756
3.989997, -0.015675
3.999997, -0.024882
4.009997, -0.029267
4.019997, -0.020148
4.029997, -0.010539
4.039998, -0.016730
4.049998, -0.019595
4.059998, -0.017493
4.069998, -0.022896
4.079998, -0.017752
4.089999, -0.017139
4.099999, -0.016149
4.109999, -0.023115
4.119999, -0.016292
4.130000, -0.020551
4.140000, -0.017395
4.150000, -0.020290
4.160000, -0.016022
4.170001, -0.014291
4.180001, -0.014624
4.190001, -0.025329
4.200001, -0.012904
4.210001, -0.015854
4.220002, -0.016968
4.230002, -0.012880
4.240002, -0.025621
4.250002, -0.018276
4.260003, -0.011827
4.270003, -0.018044
4.280003, -0.019448
4.290003, -0.016096
4.300004, -0.019302
4.310004, -0.019424
4.320004, -0.026953
4.330004, -0.015492
4.340004, -0.021144
4.350005, -0.020558
4.360005, -0.018758
4.370005, -0.012422
4.380005, -0.018245
4.390006, -0.021514
4.400006, -0.019718
4.410006, -0.031383
4.420006, -0.016943
4.430007, -0.018982
4.440007, -0.022564
4.450007, -0.024876
4.460007, -0.014338
4.470007, -0.000853
4.480008, -0.015905
4.490008, -0.021434
4.500008, -0.018744
4.510008, -0.003961
4.520009, -0.012606
4.530009, -0.011956
4.540009, -0.013795
4.550009, -0.015720
4.560009, -0.014835
4.570010, -0.029278
4.580010, -0.020638
4.590010, -0.011874
4.600010, -0.014884
4.610011, -0.019696
4.620011, -0.017988
4.630011, -0.031616
4.640011, -0.024791
4.650012, -0.016938
4.660012, -0.018634
4.670012, -0.020172
4.680012, -0.022441
4.690012, -0.023778
4.700013, -0.017198
4.710013, -0.025012
4.720013, -0.023092
4.730013, -0.017635
4.740014, -0.019574
4.750014, -0.015073
4.760014, -0.029302
4.770014, -0.025320
4.780015, -0.025810
4.790015, -0.016864
4.800015, -0.013023
4.810015, -0.012500
4.820015, -0.010759
4.830016, -0.012183
4.840016, -0.012057
4.850016, -0.020988
4.860016, -0.014725
4.870017, -0.018797
4.880017, -0.020715
4.890017, -0.015364
4.900017, -0.021212
4.910017, -0.022531
4.920018, -0.014709
4.930018, -0.019752
4.940018, -0.018596
4.950018, -0.009999
4.960019, -0.010199
4.970019, -0.022143
4.980019, -0.021641
4.990019, -0.015682
5.000020, -0.020763
5.010020, -0.019882
5.020020, -0.011546
5.030020, -0.019155
5.040020, -0.018133
5.050021, -0.011293
5.060021, -0.005268
5.070021, -0.015174
5.080021, -0.022146
5.090022, -0.018356
5.100022, -0.023189
5.110022, -0.022382
5.120022, -0.021685
5.130023, -0.024460
5.140023, -0.019638
5.150023, -0.010996
5.160023, -0.016377
5.170023, -0.024486
5.180024, -0.012603
5.190024, -0.022204
5.200024, -0.017696
5.210024, -0.018741
5.220025, -0.014587
5.230025, -0.018477
5.240025, -0.017778
5.250025, -0.020109
5.260026, -0.013999
5.270026, -0.016750
5.280026, -0.016917
5.290026, -0.012692
5.300026, -0.018704
5.310027, -0.023647
5.320027, -0.018812
5.330027, -0.011213
5.340027, -0.018332
5.350028, -0.015031
5.360028, -0.011040
5.370028, -0.021847
5.380028, -0.018950
5.390028, -0.011888
5.400029, -0.016315
5.410029, -0.020027
5.420029, -0.013416
5.430029, -0.022938
5.440030, -0.025386
5.450030, -0.018682
5.460030, -0.010620
5.470030, -0.025818
5.480031, -0.019427
5.490031, -0.021389
5.500031, -0.017039
5.510031, -0.017016
5.520031, -0.017727
5.530032, -0.009055
5.540032, -0.024224
5.550032, -0.016426
5.560032, -0.015890
5.570033, -0.024601
5.580033, -0.016977
5.590033, -0.025536
5.600033, -0.018871
5.610034, -0.011060
5.620034, -0.015548
5.630034, -0.014159
5.640034, -0.020086
5.650034, -0.019287
5.660035, -0.019666
5.670035, -0.012721
5.680035, -0.014138
5.690035, -0.016965
5.700036, -0.015574
5.710036, -0.019107
5.720036, -0.018437
5.730036, -0.026743
5.740036, -0.017816
5.750037, -0.023215
5.760037, -0.026399
5.770037, -0.017761
5.780037, -0.018699
5.790038, -0.018622
5.800038, -0.009522
5.810038, -0.020103
5.820038, -0.027436
5.830039, -0.015636
5.840039, -0.012692
5.850039, -0.025365
5.860039, -0.019301
5.870039, -0.017783
5.880040, -0.021731
5.890040, -0.015662
5.900040, -0.003305
5.910040, -0.011362
5.920041, -0.024967
5.930041, -0.017581
5.940041, -0.024255
5.950041, -0.019725
5.960042, -0.022104
5.970042, -0.020257
5.980042, -0.015115
5.990042, -0.028212
6.000042, -0.026084
6.010043, -0.010495
6.020043, -0.028439
6.030043, -0.013150
6.040043, -0.014566
6.050044, -0.028084
6.060044, -0.013075
6.070044, -0.018898
6.080044, -0.015027
6.090044, -0.007311
6.100045, -0.017203
6.110045, -0.023783
6.120045, -0.023142
6.130045, -0.024301
6.140046, -0.018334
6.150046, -0.017980
6.160046, -0.015137
6.170046, -0.023879
6.180047, -0.024986
6.190047, -0.021769
6.200047, -0.028810
6.210047, -0.022614
6.220047, -0.025070
6.230048, -0.021060
6.240048, -0.018162
6.250048, -0.015532
6.260048, -0.015056
6.270049, -0.013498
6.280049, -0.016638
6.290049, -0.009422
6.300049, -0.020922
6.310050, -0.017627
6.320050, -0.007338
6.330050, -0.013071
6.340050, -0.021198
6.350050, -0.021424
6.360051, -0.010539
6.370051, -0.021981
6.380051, -0.018607
6.390051, -0.020625
6.400052, -0.022204
6.410052, -0.024663
6.420052, -0.017811
6.430052, -0.015150
6.440053, -0.023485
6.450053, -0.024577
6.460053, -0.028131
6.470053, -0.014634
6.480053, -0.022568
6.490054, -0.022777
6.500054, -0.007847
6.510054, -0.022874
6.520054, -0.019115
6.530055, -0.012828
6.540055, -0.009641
6.550055, -0.018299
6.560055, -0.023508
6.570055, -0.022399
6.580056, -0.016118
6.590056, -0.014718
6.600056, -0.015985
6.610056, -0.029837
6.620057, -0.018251
6.630057, -0.016221
6.640057, -0.013421
6.650057, -0.017886
6.660058, -0.017387
6.670058, -0.018283
6.680058, -0.014990
6.690058, -0.016591
6.700058, -0.021049
6.710059, -0.009374
6.720059, -0.015485
6.730059, -0.022246
6.740059, -0.016327
6.750060, -0.018609
6.760060, -0.015393
6.770060, -0.025433
6.780060, -0.021724
6.790061, -0.019337
6.800061, -0.014424
6.810061, -0.019500
6.820061, -0.017541
6.830061, -0.017393
6.840062, -0.015131
6.850062, -0.015083
6.860062, -0.018682
6.870062, -0.017620
6.880063, -0.015822
6.890063, -0.020423
6.900063, -0.020344
6.910063, -0.014311
6.920063, -0.018386
6.930064, -0.014362
6.940064, -0.017887
6.950064, -0.028771
6.960064, -0.016095
6.970065, -0.020284
6.980065, -0.015661
6.990065, -0.020945
7.000065, -0.019968
7.010066, -0.015859
7.020066, -0.014780
7.030066, -0.013364
7.040066, -0.018196
7.050066, -0.006413
7.060067, -0.017242
7.070067, -0.017731
7.080067, -0.008681
7.090067, -0.020238
7.100068, -0.018062
7.110068, -0.026912
7.120068, -0.017288
7.130068, -0.014406
7.140069, -0.019593
7.150069, -0.015565
7.160069, -0.020252
7.170069, -0.023104
7.180069, -0.011777
7.190070, -0.013472
7.200070, -0.023283
7.210070, -0.022307
7.220070, -0.025500
7.230071, -0.027005
7.240071, -0.022438
7.250071, -0.008448
7.260071, -0.014788
7.270072, -0.012384
7.280072, -0.018964
7.290072, -0.015335
7.300072, -0.007897
7.310072, -0.022817
7.320073, -0.025154
7.330073, -0.011285
7.340073, -0.017242
7.350073, -0.016182
7.360074, -0.013012
7.370074, -0.025062
7.380074, -0.030970
7.390074, -0.024059
7.400074, -0.014864
7.410075, -0.019954
7.420075, -0.022860
7.430075, -0.018269
7.440075, -0.024518
7.450076, -0.026749
7.460076, -0.019064
7.470076, -0.010780
7.480076, -0.017406
7.490077, -0.017238
7.500077, -0.020917
7.510077, -0.022443
7.520077, -0.027297
7.530077, -0.015239
7.540078, -0.017914
7.550078, -0.020242
7.560078, -0.024278
7.570078, -0.017591
7.580079, -0.014711
7.590079, -0.020453
7.600079, -0.021612
7.610079, -0.024126
7.620080, -0.020031
7.630080, -0.017548
7.640080, -0.022940
7.650080, -0.032672
7.660080, -0.023897
7.670081, -0.022366
7.680081, -0.023706
7.690081, -0.023073
7.700081, -0.017828
7.710082, -0.021589
7.720082, -0.012191
7.730082, -0.010217
7.740082, -0.025880
7.750082, -0.012783
7.760083, -0.014492
7.770083, -0.026757
7.780083, -0.017032
7.790083, -0.019621
7.800084, -0.024447
7.810084, -0.015745
7.820084, -0.025020
7.830084, -0.021732
7.840085, -0.021874
7.850085, -0.023668
7.860085, -0.024958
7.870085, -0.015682
7.880085, -0.020761
7.890086, -0.012704
7.900086, -0.020538
7.910086, -0.018032
7.920086, -0.014643
7.930087, -0.011098
7.940087, -0.019433
7.950087, -0.020823
7.960087, -0.018368
7.970088, -0.008191
7.980088, -0.022549
7.990088, -0.016763
8.000088, -0.014687
8.010088, -0.021602
8.020088, -0.020473
8.030088, -0.016998
8.040089, -0.018817
8.050089, -0.014998
8.060089, -0.027567
8.070089, -0.014374
8.080090, -0.029728
8.090090, -0.012287
8.100090, -0.016938
8.110090, -0.015177
8.120090, -0.026662
8.130091, -0.010396
8.140091, -0.020395
8.150091, -0.015922
8.160091, -0.010476
8.170092, -0.020189
8.180092, -0.009774
8.190092, -0.015067
8.200092, -0.019610
8.210093, -0.018849
8.220093, -0.012993
8.230093, -0.015997
8.240093, -0.023605
8.250093, -0.018478
8.260094, -0.017362
8.270094, -0.013355
8.280094, -0.026111
8.290094, -0.028243
8.300095, -0.019783
8.310095, -0.016550
8.320095, -0.024958
8.330095, -0.010865
8.340096, -0.018050
8.350096, -0.017855
8.360096, -0.018491
8.370096, -0.019712
8.380096, -0.018205
8.390097, -0.018579
8.400097, -0.022692
8.410097, -0.012445
8.420097, -0.017050
8.430098, -0.015603
8.440098, -0.012089
8.450098, -0.017301
8.460098, -0.025143
8.470098, -0.026600
8.480099, -0.023997
8.490099, -0.014261
8.500099, -0.015481
8.510099, -0.019949
8.520100, -0.020644
8.530100, -0.019876
8.540100, -0.017881
8.550100, -0.016291
8.560101, -0.024546
8.570101, -0.017022
8.580101, -0.021016
8.590101, -0.027020
8.600101, -0.024528
8.610102, -0.018041
8.620102, -0.006967
8.630102, -0.013930
8.640102, -0.010704
8.650103, -0.013938
8.660103, -0.016011
8.670103, -0.022369
8.680103, -0.013571
8.690104, -0.013319
8.700104, -0.015224
8.710104, -0.020776
8.720104, -0.019882
8.730104, -0.021418
8.740105, -0.028958
8.750105, -0.017617
8.760105, -0.021316
8.770105, -0.020995
8.780106, -0.014336
8.790106, -0.018572
8.800106, -0.015458
8.810106, -0.021311
8.820107, -0.012706
8.830107, -0.018839
8.840107, -0.016620
8.850107, -0.021504
8.860107, -0.022873
8.870108, -0.017704
8.880108, -0.022166
8.890108, -0.028445
8.900108, -0.013486
8.910109, -0.015444
8.920109, -0.029166
8.930109, -0.019417
8.940109, -0.017496
8.950109, -0.014186
8.960110, -0.024351
8.970110, -0.025632
8.980110, -0.016150
8.990110, -0.017203
9.000111, -0.014073
9.010111, -0.017255
9.020111, -0.020843
9.030111, -0.016661
9.040112, -0.029742
9.050112, -0.022280
9.060112, -0.025992
9.070112, -0.014844
9.080112, -0.011887
9.090113, -0.019496
9.100113, -0.023932
9.110113, -0.013113
9.120113, -0.015091
9.130114, -0.024847
9.140114, -0.025351
9.150114, -0.019521
9.160114, -0.007571
9.170115, -0.017416
9.180115, -0.022348
9.190115, -0.009489
9.200115, -0.014012
9.210115, -0.004507
9.220116, -0.007217
9.230116, -0.018415
9.240116, -0.017328
9.250116, -0.024296
9.260117, -0.020153
9.270117, -0.022553
9.280117, -0.017901
9.290117, -0.010404
9.300117, -0.017109
9.310118, -0.015651
9.320118, -0.024730
9.330118, -0.019660
9.340118, -0.018483
9.350119, -0.010682
9.360119, -0.020919
9.370119, -0.012739
9.380119, -0.028120
9.390120, -0.028710
9.400120, -0.022444
9.410120, -0.017076
9.420120, -0.014756
9.430120, -0.017493
9.440121, -0.007903
9.450121, -0.011468
9.460121, -0.016598
9.470121, -0.022906
9.480122, -0.022773
9.490122, -0.026102
9.500122, -0.025153
9.510122, -0.017605
9.520123, -0.011037
9.530123, -0.020699
9.540123, -0.023367
9.550123, -0.018883
9.560123, -0.013596
9.570124, -0.018229
9.580124, -0.012657
9.590124, -0.019963
9.600124, -0.028425
9.610125, -0.025838
9.620125, -0.015001
9.630125, -0.023792
9.640125, -0.016712
9.650126, -0.010377
9.660126, -0.011620
9.670126, -0.017547
9.680126, -0.017337
9.690126, -0.024550
9.700127, -0.031479
9.710127, -0.021097
9.720127, -0.011209
9.730127, -0.013721
9.740128, -0.022902
9.750128, -0.012141
9.760128, -0.014025
9.770128, -0.020022
9.780128, -0.015550
9.790129, -0.025780
9.800129, -0.025657
9.810129, -0.024273
9.820129, -0.016412
9.830130, -0.023974
9.840130, -0.023164
9.850130, -0.019049
9.860130, -0.018501
9.870131, -0.007461
9.880131, -0.017747
9.890131, -0.015782
9.900131, -0.019259
9.910131, -0.020476
9.920132, -0.022059
9.930132, -0.031338
9.940132, -0.020158
9.950132, -0.017101
9.960133, -0.016915
9.970133, -0.020431
9.980133, -0.014049
9.990133, -0.025527
10.000134, -0.011549
10.010134, -0.013148
10.020134, -0.016373
10.030134, -0.024053
10.040134, -0.014077
10.050135, -0.025384
10.060135, -0.023206
10.070135, -0.018078
10.080135, -0.020771
10.090136, -0.025305
10.100136, -0.019226
10.110136, -0.016292
10.120136, -0.017870
10.130136, -0.018747
10.140137, -0.014997
10.150137, -0.018419
10.160137, -0.015362
10.170137, -0.020236
10.180138, -0.019991
10.190138, -0.015613
10.200138, -0.021834
10.210138, -0.012404
10.220139, -0.020595
10.230139, -0.015498
10.240139, -0.016981
10.250139, -0.018486
10.260139, -0.023263
10.270140, -0.022398
10.280140, -0.019329
10.290140, -0.008363
10.300140, -0.020260
10.310141, -0.018453
10.320141, -0.022554
10.330141, -0.020851
10.340141, -0.020713
10.350142, -0.022030
10.360142, -0.013339
10.370142, -0.011305
10.380142, -0.008805
10.390142, -0.015066
10.400143, -0.021247
10.410143, -0.012719
10.420143, -0.013224
10.430143, -0.016720
10.440144, -0.021095
10.450144, -0.022175
10.460144, -0.012122
10.470144, -0.017138
10.480145, -0.021741
10.490145, -0.026045
10.500145, -0.023243
10.510145, -0.026329
10.520145, -0.021786
10.530146, -0.017336
10.540146, -0.014931
10.550146, -0.017533
10.560146, -0.023207
10.570147, -0.007572
10.580147, -0.020839
10.590147, -0.018843
10.600147, -0.016966
10.610147, -0.020675
10.620148, -0.019027
10.630148, -0.017733
10.640148, -0.022388
10.650148, -0.027138
10.660149, -0.024629
10.670149, -0.019696
10.680149, -0.011576
10.690149, -0.016403
10.700150, -0.021227
10.710150, -0.026104
10.720150, -0.019368
10.730150, -0.019544
10.740150, -0.020153
10.750151, -0.022779
10.760151, -0.017544
10.770151, -0.020065
10.780151, -0.025987
10.790152, -0.018812
10.800152, -0.015535
10.810152, -0.038223
10.820152, -0.017754
10.830153, -0.021922
10.840153, -0.013783
10.850153, -0.014125
