t, ur
2.339998, -1039.529175
2.349998, -1039.529419
2.359998, -1039.529419
2.369998, -1039.529175
2.379998, -1040.039917
2.389998, -1039.529419
2.399998, -1040.040161
2.409998, -1040.039917
2.419998, -1039.529419
2.429998, -1040.040649
2.439998, -1039.529663
2.449998, -1039.529175
2.459998, -1039.018066
2.469998, -1039.528931
2.479998, -1039.529175
2.489998, -1040.039917
2.499998, -1040.039917
2.509998, -1040.039917
2.519998, -1039.017212
2.529998, -1039.529663
2.539998, -1040.040405
2.549998, -1040.039551
2.559998, -1040.040405
2.569998, -1039.529907
2.579998, -1040.041504
2.589998, -1039.529419
2.599998, -1039.529419
2.609998, -1039.529175
2.619998, -1040.551270
2.629998, -1039.529175
2.639998, -1039.017822
2.649998, -1040.040649
2.659998, -1041.573608
2.669998, -1040.551514
2.679998, -1042.083862
2.689998, -1040.039551
2.699998, -1039.528564
2.709998, -1040.040405
2.719998, -1039.529907
2.729998, -1039.018066
2.739998, -1039.528564
2.749998, -1040.040405
2.759998, -1040.040405
2.769998, -1039.528931
2.779998, -1040.040161
2.789998, -1040.040894
2.799998, -1040.040649
2.809998, -1039.529419
2.819998, -1040.040894
2.829998, -1039.529907
2.839998, -1039.529419
2.849998, -1040.040405
2.859998, -1040.040649
2.869998, -1039.528931
2.879998, -1040.039917
2.889998, -1039.529419
2.899998, -1039.528564
2.909998, -1039.528931
2.919998, -1040.550415
2.929998, -1039.528320
2.939998, -1040.039551
2.949998, -1040.040405
2.959998, -1040.040649
2.969998, -1039.529663
2.979998, -1040.040894
2.989998, -1039.530762
2.999998, -1039.531250
3.009998, -1040.040405
3.019998, -1039.529907
3.029998, -1039.529663
3.039998, -1040.040649
3.049998, -1039.529663
3.059998, -1040.040161
3.069998, -1040.039551
3.079998, -1039.528564
3.089998, -1040.039917
3.099998, -1039.528564
3.109998, -1039.528931
3.119998, -1039.528564
3.129997, -1039.529175
3.139997, -1039.017822
3.149997, -1039.530518
3.159997, -1040.551514
3.169997, -1040.041504
3.179997, -1039.530151
3.189997, -1039.529663
3.199997, -1040.040649
3.209997, -1040.040894
3.219997, -1040.040161
3.229997, -1040.039307
3.239997, -1039.528320
3.249997, -1039.528564
3.259997, -1040.039551
3.269997, -1039.527832
3.279997, -1039.528564
3.289997, -1040.039917
3.299997, -1040.040405
3.309997, -1039.529663
3.319997, -1040.040405
3.329997, -1039.529663
3.339997, -1032.885498
3.349997, -1039.529419
3.359997, -1039.529907
3.369997, -1039.529175
3.379997, -1039.529175
3.389997, -1040.039917
3.399997, -1040.039551
3.409997, -1040.039551
3.419997, -1040.040161
3.429997, -1039.529175
3.439997, -1040.039917
3.449997, -1039.528931
3.459997, -1039.529175
3.469997, -1040.039917
3.479997, -1040.040405
3.489997, -1040.551758
3.499997, -1039.529175
3.509997, -1040.040405
3.519997, -1040.040894
3.529997, -1039.529175
3.539997, -1039.529175
3.549997, -1040.040894
3.559997, -1041.573853
3.569997, -1039.529175
3.579997, -1040.039551
3.589997, -1039.528931
3.599997, -1040.039062
3.609997, -1039.529907
3.619997, -1039.530151
3.629997, -1039.529663
3.639997, -1039.529175
3.649997, -1039.529907
3.659997, -1040.040405
3.669997, -1039.529663
3.679997, -1040.551758
3.689997, -1040.039917
3.699997, -1039.528931
3.709997, -1040.040161
3.719997, -1039.529663
3.729997, -1039.528931
3.739997, -1040.039551
3.749997, -1039.529175
3.759997, -1039.529419
